candidate,BEAR_2022_ROI,BEAR_2022_DD,SIDEWAYS_2025_ROI,SIDEWAYS_2025_DD,BEAR_2026Q12_ROI,BEAR_2026Q12_DD,verdict
Triple_TR_BAL,-4.89,4.89,-3.47,9.52,-6.26,6.26,WARN
Triple_TR_FAST,-7.5,7.5,-6.06,11.6,-6.73,6.73,WARN
Triple_TR_SLOW,-4.42,4.42,-5.91,10.03,-5.53,5.53,WARN
Triple_TR_STRICT,0.0,0.0,2.07,6.16,0.0,0.0,PASS
AI_Shield_V2_Sigmoid,0.0,0.0,13.86,2.68,0.0,0.0,PASS
AI_Shield_V3_AI3_COOLDOWN_3,0.0,0.0,17.0,0.0,0.0,0.0,PASS
AI_Shield_V3_AI3_COOLDOWN_7,0.0,0.0,17.0,0.0,0.0,0.0,PASS
AI_Shield_V3_AI3_COOLDOWN_14,0.0,0.0,17.0,0.0,0.0,0.0,PASS
Calendar_Shield,0.0,0.0,0.0,0.0,0.0,0.0,PASS
Calendar_Shield_Fixed,0.0,0.0,13.94,2.68,0.0,0.0,PASS
ETH_Shield,-11.75,11.75,31.43,0.0,0.0,0.0,WARN
Pure_Shield,-13.39,13.39,9.01,0.0,0.0,0.0,WARN
AI_Shield,0.0,0.0,12.27,4.02,0.0,0.0,PASS
SOL_Shield,-31.67,31.67,-43.11,43.11,0.0,0.0,CATASTROPHIC
SOL_AIShV2,0.0,0.0,-34.69,37.73,0.0,0.0,CATASTROPHIC
SOL_Triple,-12.69,12.69,-10.39,10.39,0.0,0.0,WARN
Sentiment_Shield,0.0,0.0,11.91,4.41,0.0,0.0,PASS
SOL_VolShield,0.0,0.0,0.0,0.0,0.0,0.0,PASS
SOL_VolShield_v2,-14.92,14.92,-15.85,15.85,0.0,0.0,FAIL
SOL_VolShield_v3,0.0,0.0,-12.81,12.81,0.0,0.0,WARN
BNB_live,-20.32,20.32,23.43,0.0,-16.26,16.26,FAIL
DOGE_live,-31.98,31.98,-18.89,18.89,0.0,0.0,CATASTROPHIC
ADA_live,0.0,0.0,-21.79,21.79,0.0,0.0,FAIL
rot-BNB,-15.39,15.39,2.49,0.0,-3.6,3.79,FAIL
adapt-DOGE,-23.78,23.78,-27.24,27.24,-12.42,12.42,FAIL
aishv2-ADA,0.0,0.0,-44.31,44.31,0.0,0.0,CATASTROPHIC
BNB_Triple,1.35,0.0,11.52,1.93,-5.81,5.81,WARN
DOGE_Triple,0.0,0.0,-16.74,16.74,0.0,0.0,FAIL
ADA_Triple,0.0,0.0,7.66,1.96,0.0,0.0,PASS
ETH_Calendar,0.0,0.0,43.29,0.0,0.0,0.0,PASS
BNB_Calendar,-1.54,1.54,34.92,11.79,0.0,0.0,PASS
