variant,year,roi_%,wallet_$
01 Rebal_R5,2021,49.0,10000
01 Rebal_R5,2022,-53.3,10000
01 Rebal_R5,2023,104.5,10000
01 Rebal_R5,2024,79.7,10000
01 Rebal_R5,2025,-4.3,10000
01 Rebal_R5,2026Q12,-12.5,10000
02 Rebal_R5_SHIELD,2021,44.4,10000
02 Rebal_R5_SHIELD,2022,-51.2,10000
02 Rebal_R5_SHIELD,2023,101.3,10000
02 Rebal_R5_SHIELD,2024,69.3,10000
02 Rebal_R5_SHIELD,2025,4.9,10000
02 Rebal_R5_SHIELD,2026Q12,-3.2,10000
03 DynRebal_P20,2021,50.9,10000
03 DynRebal_P20,2022,-53.5,10000
03 DynRebal_P20,2023,105.3,10000
03 DynRebal_P20,2024,78.8,10000
03 DynRebal_P20,2025,-4.3,10000
03 DynRebal_P20,2026Q12,-12.0,10000
04 DynRebal_P20_SHIELD,2021,45.2,10000
04 DynRebal_P20_SHIELD,2022,-51.2,10000
04 DynRebal_P20_SHIELD,2023,102.7,10000
04 DynRebal_P20_SHIELD,2024,69.2,10000
04 DynRebal_P20_SHIELD,2025,4.7,10000
04 DynRebal_P20_SHIELD,2026Q12,-2.8,10000
05 3Layer_AGGR,2021,33.7,10000
05 3Layer_AGGR,2022,-45.8,10000
05 3Layer_AGGR,2023,97.5,10000
05 3Layer_AGGR,2024,77.5,10000
05 3Layer_AGGR,2025,-5.2,10000
05 3Layer_AGGR,2026Q12,-11.2,10000
06 3Layer_AGGR_SHIELD,2021,33.8,10000
06 3Layer_AGGR_SHIELD,2022,-49.1,10000
06 3Layer_AGGR_SHIELD,2023,91.0,10000
06 3Layer_AGGR_SHIELD,2024,64.9,10000
06 3Layer_AGGR_SHIELD,2025,3.9,10000
06 3Layer_AGGR_SHIELD,2026Q12,-0.6,10000
07 Adaptive_AGGR,2021,13.4,10000
07 Adaptive_AGGR,2022,-47.5,10000
07 Adaptive_AGGR,2023,100.6,10000
07 Adaptive_AGGR,2024,73.2,10000
07 Adaptive_AGGR,2025,0.1,10000
07 Adaptive_AGGR,2026Q12,-10.9,10000
08 Adaptive_AGGR_SHIELD,2021,11.3,10000
08 Adaptive_AGGR_SHIELD,2022,-43.7,10000
08 Adaptive_AGGR_SHIELD,2023,97.9,10000
08 Adaptive_AGGR_SHIELD,2024,68.4,10000
08 Adaptive_AGGR_SHIELD,2025,6.0,10000
08 Adaptive_AGGR_SHIELD,2026Q12,-5.6,10000
09 PURE_Shield_RS_AGGR,2021,47.0,10000
09 PURE_Shield_RS_AGGR,2022,-13.4,10000
09 PURE_Shield_RS_AGGR,2023,73.7,10000
09 PURE_Shield_RS_AGGR,2024,52.9,10000
09 PURE_Shield_RS_AGGR,2025,9.0,10000
09 PURE_Shield_RS_AGGR,2026Q12,0.0,10000
10 ETH_DynRebal_P20,2021,271.0,1000
10 ETH_DynRebal_P20,2022,-55.1,1000
10 ETH_DynRebal_P20,2023,65.1,1000
10 ETH_DynRebal_P20,2024,32.3,1000
10 ETH_DynRebal_P20,2025,-3.3,1000
10 ETH_DynRebal_P20,2026Q12,-24.5,1000
11 ETH_Shield_RS_AGGR,2021,249.6,1000
11 ETH_Shield_RS_AGGR,2022,-11.7,1000
11 ETH_Shield_RS_AGGR,2023,38.9,1000
11 ETH_Shield_RS_AGGR,2024,24.3,1000
11 ETH_Shield_RS_AGGR,2025,31.4,1000
11 ETH_Shield_RS_AGGR,2026Q12,0.0,1000
12 SOL_DynRebal_P20,2021,637.9,500
12 SOL_DynRebal_P20,2022,-87.2,500
12 SOL_DynRebal_P20,2023,509.6,500
12 SOL_DynRebal_P20,2024,57.7,500
12 SOL_DynRebal_P20,2025,-21.3,500
12 SOL_DynRebal_P20,2026Q12,-26.6,500
13 SOL_Shield_RS_AGGR,2021,902.6,500
13 SOL_Shield_RS_AGGR,2022,-31.7,500
13 SOL_Shield_RS_AGGR,2023,231.5,500
13 SOL_Shield_RS_AGGR,2024,43.7,500
13 SOL_Shield_RS_AGGR,2025,-43.1,500
13 SOL_Shield_RS_AGGR,2026Q12,0.0,500
