pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday,strategy,mode,pair_tag,run_folder,coin,open_year,open_month,open_dow,close_dow,duration_days,is_win,dur_bucket
BTC/USDT,8499.740026,8499.740026,0.28978,2021-01-02 00:00:00+00:00,2021-05-22 00:00:00+00:00,29331.7,37263.35,0.001,0.001,201600,0.2678739299885211,2279.13562341,shield:bear_rs_aggr,293.32,-0.99,293.32,-0.99,28130.0,64854.0,False,shield:bull_rs_aggr,1.0,False,1609545600000,1621641600000,0.0,5,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2021,1,Saturday,Saturday,140,True,120d+
BTC/USDT,10437.2223769,10437.2223769,0.26081,2021-07-30 00:00:00+00:00,2021-12-12 00:00:00+00:00,40018.49,49389.99,0.001,0.001,194400,0.231713358032602,2420.86228933,shield:bear_rs_aggr,400.19,-0.99,400.19,-0.99,37332.7,69000.0,False,shield:bull_rs_aggr,1.0,False,1627603200000,1639267200000,0.0,6,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2021,7,Friday,Sunday,135,True,120d+
BTC/USDT,12494.6686254,12494.6686254,0.26546,2022-03-31 00:00:00+00:00,2022-04-29 00:00:00+00:00,47067.99,39742.06,0.001,0.001,41760,-0.1573327162530931,-1967.78597367,shield:bear_rs_aggr,470.68,-0.99,470.68,-0.99,37702.26,47600.0,False,shield:bull_rs_aggr,1.0,False,1648684800000,1651190400000,0.0,4,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2022,3,Thursday,Friday,29,False,8-30d
BTC/USDT,10822.3190835,10822.3190835,0.47501,2023-01-22 00:00:00+00:00,2023-08-20 00:00:00+00:00,22783.35,26100.01,0.001,0.001,302400,0.1432849922368615,1552.22658177,shield:bear_rs_aggr,227.84,-0.99,227.84,-0.99,19549.09,31804.2,False,shield:bull_rs_aggr,1.0,False,1674345600000,1692489600000,0.0,6,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2023,1,Sunday,Sunday,210,True,120d+
BTC/USDT,12141.64917,12141.64917,0.4347,2023-10-07 00:00:00+00:00,2024-07-07 00:00:00+00:00,27931.1,58230.13,0.001,0.001,394560,1.0806121521858567,13133.53405432,shield:bear_rs_aggr,279.32,-0.99,279.32,-0.99,26538.66,73777.0,False,shield:bull_rs_aggr,1.0,False,1696636800000,1720310400000,0.0,6,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2023,10,Saturday,Sunday,274,True,120d+
BTC/USDT,23304.66744,23304.66744,0.34318,2024-07-27 00:00:00+00:00,2024-08-30 00:00:00+00:00,67908.0,59359.0,0.001,0.001,48960,-0.1276373829386729,-2977.52130906,shield:bear_rs_aggr,679.09,-0.99,679.09,-0.99,49000.0,70079.99,False,shield:bull_rs_aggr,1.0,False,1722038400000,1724976000000,0.0,4,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2024,7,Saturday,Friday,34,False,31-60d
BTC/USDT,20774.24752,20774.24752,0.31544,2024-09-29 00:00:00+00:00,2025-03-01 00:00:00+00:00,65858.0,84349.95,0.001,0.001,220320,0.2782261628255079,5785.71911225,shield:bear_rs_aggr,658.59,-0.99,658.59,-0.99,58946.0,109588.0,False,shield:bull_rs_aggr,1.0,False,1727568000000,1740787200000,0.0,5,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2024,9,Sunday,Saturday,153,True,120d+
BTC/USDT,25691.9929245,25691.9929245,0.27405,2025-04-28 00:00:00+00:00,2025-11-06 00:00:00+00:00,93749.29,103885.16,0.001,0.001,276480,0.1059027459596372,2723.57345248,shield:bear_rs_aggr,937.5,-0.99,937.5,-0.99,92800.01,126199.63,False,shield:bull_rs_aggr,1.0,False,1745798400000,1762387200000,0.0,3,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_172321__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2025,4,Monday,Thursday,192,True,120d+
BTC/USDT,8499.740026,8499.740026,0.28978,2021-01-02 00:00:00+00:00,2021-05-22 00:00:00+00:00,29331.7,37263.35,0.001,0.001,201600,0.2678739299885211,2279.13562341,shield:bear_rs_aggr,293.32,-0.99,293.32,-0.99,28130.0,64854.0,False,shield:bull_rs_aggr,1.0,False,1609545600000,1621641600000,0.0,5,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_182837__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2021,1,Saturday,Saturday,140,True,120d+
BTC/USDT,10437.2223769,10437.2223769,0.26081,2021-07-30 00:00:00+00:00,2021-12-12 00:00:00+00:00,40018.49,49389.99,0.001,0.001,194400,0.231713358032602,2420.86228933,shield:bear_rs_aggr,400.19,-0.99,400.19,-0.99,37332.7,69000.0,False,shield:bull_rs_aggr,1.0,False,1627603200000,1639267200000,0.0,6,BtcRegimeShieldStrategy,RS_AGGR,BTC/USDT,20260602_182837__BtcRegimeShieldStrategy__RS_AGGR__BTC_USDT,BTC,2021,7,Friday,Sunday,135,True,120d+
