trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,0.28978,29331.7,buy,1609545600000,True,shield:bull_rs_aggr,8508.239766026
,0.28978,37263.35,sell,1621641600000,False,shield:bear_rs_aggr,10808.971736562997
,0.26081,40018.49,buy,1627603200000,True,shield:bull_rs_aggr,10447.659599276898
,0.26081,49389.99,sell,1639267200000,False,shield:bear_rs_aggr,12894.284695191896
,0.26546,47067.99,buy,1648684800000,True,shield:bull_rs_aggr,12507.163294025397
,0.26546,39742.06,sell,1651190400000,False,shield:bear_rs_aggr,10560.477174847598
,0.47501,22783.35,buy,1674345600000,True,shield:bull_rs_aggr,10833.141402583498
,0.47501,26100.01,sell,1692489600000,False,shield:bear_rs_aggr,12410.163515850098
,0.4347,27931.1,buy,1696636800000,True,shield:bull_rs_aggr,12153.790819169997
,0.4347,58230.13,sell,1720310400000,False,shield:bear_rs_aggr,25337.950148510994
,0.34318,67908.0,buy,1722038400000,True,shield:bull_rs_aggr,23327.972107439993
,0.34318,59359.0,sell,1724976000000,False,shield:bear_rs_aggr,20391.192441619998
,0.31544,65858.0,buy,1727568000000,True,shield:bull_rs_aggr,20795.02176752
,0.31544,84349.95,sell,1740787200000,False,shield:bear_rs_aggr,26633.955576227996
,0.27405,93749.29,buy,1745798400000,True,shield:bull_rs_aggr,25717.684917424496
,0.27405,103885.16,sell,1762387200000,False,shield:bear_rs_aggr,28498.197826098
