pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
BTC/USDT,7178.933575,7178.933575,0.24475,2021-01-02 00:00:00+00:00,2021-01-12 00:00:00+00:00,29331.7,35410.37,0.001,0.001,14400,0.2048268600183492,1471.90886087,ai_shield:bearish,293.32,-0.99,293.32,-0.99,28130.0,41950.0,False,ai_shield,1.0,False,1609545600000,1610409600000,0.0,1
BTC/USDT,8322.6337345,8322.6337345,0.24443,2021-01-13 00:00:00+00:00,2021-01-22 00:00:00+00:00,34049.15,30851.99,0.001,0.001,12960,-0.09570877210331302,-797.34560445,ai_shield:bearish,340.5,-0.99,340.5,-0.99,28850.0,40100.0,False,ai_shield,1.0,False,1610496000000,1611273600000,0.0,4
BTC/USDT,7817.717,7817.717,0.23726,2021-01-23 00:00:00+00:00,2021-01-29 00:00:00+00:00,32950.0,33368.18,0.001,0.001,8640,0.010667991188978328,83.48273541,ai_shield:bearish,329.51,-0.99,329.51,-0.99,29241.72,38531.9,False,ai_shield,1.0,False,1611360000000,1611878400000,0.0,4
BTC/USDT,7938.0263552,7938.0263552,0.23168,2021-01-31 00:00:00+00:00,2021-02-09 00:00:00+00:00,34262.89,46374.86,0.001,0.001,12960,0.35079682236562465,2787.41905568,ai_shield:bearish,342.63,-0.99,342.63,-0.99,32171.67,48142.19,False,ai_shield,1.0,False,1612051200000,1612828800000,0.0,1
BTC/USDT,10097.388153,10097.388153,0.22535,2021-02-11 00:00:00+00:00,2021-02-24 00:00:00+00:00,44807.58,48891.0,0.001,0.001,18720,0.08895226397696512,899.083722,ai_shield:bearish,448.08,-0.99,448.08,-0.99,43994.02,58352.8,False,ai_shield,1.0,False,1613001600000,1614124800000,0.0,2
BTC/USDT,10906.9086676,10906.9086676,0.21956,2021-02-25 00:00:00+00:00,2021-04-19 00:00:00+00:00,49676.21,56150.01,0.001,0.001,76320,0.12806154430554842,1398.15232314,ai_shield:bearish,496.77,-0.99,496.77,-0.99,43000.0,64854.0,False,ai_shield,1.0,False,1614211200000,1618790400000,0.0,0
BTC/USDT,11881.0894961,11881.0894961,0.29689,2021-07-30 00:00:00+00:00,2021-09-08 00:00:00+00:00,40018.49,46868.57,0.001,0.001,57600,0.1688328695937289,2007.92435196,ai_shield:bearish,400.19,-0.99,400.19,-0.99,37332.7,52920.0,False,ai_shield,1.0,False,1627603200000,1631059200000,0.0,2
BTC/USDT,10799.1825651,14010.1312214,0.22779,2021-09-09 00:00:00+00:00,2021-12-05 00:00:00+00:00,47408.5,49152.46,0.001,0.001,125280,0.1115977804500279,1565.06304767,ai_shield:bearish,460.49,-0.99,474.09,-0.99,39600.0,69000.0,False,ai_shield,1.0,False,1631145600000,1638662400000,0.0,6
BTC/USDT,8052.547224,8052.547224,0.35344,2023-01-22 00:00:00+00:00,2023-03-14 00:00:00+00:00,22783.35,24112.27,0.001,0.001,73440,0.05621401753348611,453.11869687,ai_shield:bearish,227.84,-0.99,227.84,-0.99,19549.09,26386.87,False,ai_shield,1.0,False,1674345600000,1678752000000,0.0,1
BTC/USDT,8640.1092582,8640.1092582,0.35577,2023-03-16 00:00:00+00:00,2023-08-09 00:00:00+00:00,24285.66,29770.41,0.001,0.001,210240,0.2233939148184407,1932.07797948,ai_shield:bearish,242.86,-0.99,242.86,-0.99,24123.0,31804.2,False,ai_shield,1.0,False,1678924800000,1691539200000,0.0,2
BTC/USDT,11176.350354,11176.350354,0.40014,2023-10-07 00:00:00+00:00,2023-10-17 00:00:00+00:00,27931.1,28500.77,0.001,0.001,14400,0.018356792414186997,205.36710534,ai_shield:bearish,279.32,-0.99,279.32,-0.99,26538.66,30000.0,False,ai_shield,1.0,False,1696636800000,1697500800000,0.0,1
BTC/USDT,11381.808,11381.808,0.4019,2023-10-19 00:00:00+00:00,2023-10-24 00:00:00+00:00,28320.0,33069.99,0.001,0.001,7200,0.16539251744027472,1884.34834402,ai_shield:bearish,283.21,-0.99,283.21,-0.99,28100.66,35280.0,False,ai_shield,1.0,False,1697673600000,1698105600000,0.0,1
BTC/USDT,12410.6307705,12410.6307705,0.36585,2023-10-25 00:00:00+00:00,2023-11-10 00:00:00+00:00,33922.73,36701.1,0.001,0.001,23040,0.07974125693477031,990.62893629,ai_shield:bearish,339.23,-0.99,339.23,-0.99,33390.95,37972.24,False,ai_shield,1.0,False,1698192000000,1699574400000,0.0,4
BTC/USDT,13085.7848203,13085.7848203,0.35081,2023-11-11 00:00:00+00:00,2024-02-29 00:00:00+00:00,37301.63,62432.11,0.001,0.001,158400,0.6703658933799626,8781.03609547,ai_shield:bearish,373.02,-0.99,373.02,-0.99,34800.0,64000.0,False,ai_shield,1.0,False,1699660800000,1709164800000,0.0,3
BTC/USDT,19121.773672,19121.773672,0.3128,2024-03-01 00:00:00+00:00,2024-06-25 00:00:00+00:00,61130.99,60293.3,0.001,0.001,167040,-0.015673820002910906,-300.01094991,ai_shield:bearish,611.31,-0.99,611.31,-0.99,56552.82,73777.0,False,ai_shield,1.0,False,1709251200000,1719273600000,0.0,1
BTC/USDT,17014.3494,17014.3494,0.25055,2024-07-27 00:00:00+00:00,2024-08-06 00:00:00+00:00,67908.0,54018.82,0.001,0.001,14400,-0.2061187151776775,-3510.48281375,ai_shield:bearish,679.09,-0.99,679.09,-0.99,49000.0,70079.99,False,ai_shield,1.0,False,1722038400000,1722902400000,0.0,1
BTC/USDT,15224.1759139,15224.1759139,0.24989,2024-08-11 00:00:00+00:00,2024-08-30 00:00:00+00:00,60923.51,59359.0,0.001,0.001,27360,-0.02762659933060011,-421.01280032,ai_shield:bearish,609.24,-0.99,609.24,-0.99,56078.54,65000.0,False,ai_shield,1.0,False,1723334400000,1724976000000,0.0,4
BTC/USDT,19883.764,19883.764,0.29999,2024-09-29 00:00:00+00:00,2024-11-07 00:00:00+00:00,66281.42,75571.99,0.001,0.001,56160,0.13789043633419074,2744.52267482,ai_shield:bearish,658.59,-0.99,662.82,-0.99,58946.0,76849.99,False,ai_shield,1.0,False,1727568000000,1730937600000,0.0,3
BTC/USDT,22366.6988665,22366.6988665,0.29485,2024-11-08 00:00:00+00:00,2024-12-06 00:00:00+00:00,75857.89,96945.63,0.001,0.001,40320,0.2754366412982118,6166.76902113,ai_shield:bearish,758.58,-0.99,758.58,-0.99,75555.0,104088.0,False,ai_shield,1.0,False,1731024000000,1733443200000,0.0,4
BTC/USDT,29298.7417204,29298.7417204,0.29438,2024-12-07 00:00:00+00:00,2025-03-01 00:00:00+00:00,99526.94,84349.95,0.001,0.001,120960,-0.15418463177723898,-4521.9331194,ai_shield:bearish,997.41,-0.99,997.41,-0.99,78258.52,109588.0,False,ai_shield,1.0,False,1733529600000,1740787200000,0.0,5
BTC/USDT,22906.7015186,27112.294668,0.24434,2025-04-28 00:00:00+00:00,2025-10-11 00:00:00+00:00,93749.29,112774.49,0.001,0.001,239040,0.21149989211318118,5739.98164462,ai_shield:bearish,937.5,-0.99,937.5,-0.99,92800.01,126199.63,False,ai_shield,1.0,False,1745798400000,1760140800000,0.0,5
BTC/USDT,25219.178092,25219.178092,0.22793,2025-10-12 00:00:00+00:00,2025-11-06 00:00:00+00:00,110644.4,103885.16,0.001,0.001,36000,-0.06296570596649494,-1589.53129581,ai_shield:bearish,1106.45,-0.99,1106.45,-0.99,98944.36,116400.0,False,ai_shield,1.0,False,1760227200000,1762387200000,0.0,3
