trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,0.17152,20872.99,buy,1673827200000,True,ai_shield_v2:sigmoid,3583.7153800448
,0.17152,24112.27,sell,1678752000000,False,ai_shield_v2:bearish,4139.8722869504
,0.1747,24285.66,buy,1678924800000,True,ai_shield_v2:sigmoid,4246.947506802
,0.02129,25841.22,buy,1686441600000,True,,550.7097333738
,0.19599,29770.41,sell,1691539200000,False,ai_shield_v2:bearish,5840.537358555899
,0.22952,27931.1,buy,1696636800000,True,ai_shield_v2:sigmoid,6417.156818072
,0.22952,28500.77,sell,1697500800000,False,ai_shield_v2:bearish,6548.0382271304
,0.23206,28320.0,buy,1697673600000,True,ai_shield_v2:sigmoid,6578.511139199999
,0.23206,33069.99,sell,1698105600000,False,ai_shield_v2:bearish,7681.896101279398
,0.21329,33922.73,buy,1698192000000,True,ai_shield_v2:sigmoid,7242.6144607817005
,0.21329,36701.1,sell,1699574400000,False,ai_shield_v2:bearish,7835.8055966189995
,0.2068,37301.63,buy,1699660800000,True,ai_shield_v2:sigmoid,7721.691061084
,0.2068,42283.58,sell,1704067200000,False,force_exit,8752.988588344
