pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
AVAX/USDT,6999.96451,6999.96451,213.29,2021-05-01 00:00:00+00:00,2021-05-03 00:00:00+00:00,32.819,36.173,0.001,0.001,2880,0.09999470653360168,700.65935632,roi,0.329,-0.99,0.329,-0.99,30.383,37.36,False,layer:auto,1.0,False,1619827200000,1620000000000,0.0,0
AVAX/USDT,7490.27605,7490.27605,208.73,2021-05-04 00:00:00+00:00,2021-05-07 00:00:00+00:00,35.885,39.553,0.001,0.001,4320,0.10001318174649651,749.87546626,roi,0.359,-0.99,0.359,-0.99,29.501,43.885,False,layer:auto,1.0,False,1620086400000,1620345600000,0.0,4
AVAX/USDT,8015.161,8015.161,211.75,2021-05-08 00:00:00+00:00,2021-05-10 00:00:00+00:00,37.852,41.721,0.001,0.001,2880,0.1000116601141646,802.41116725,roi,0.379,-0.99,0.379,-0.99,29.69,41.8,False,layer:auto,1.0,False,1620432000000,1620604800000,0.0,0
AVAX/USDT,8576.9145,8576.9145,247.53,2021-05-11 00:00:00+00:00,2021-05-12 00:00:00+00:00,34.65,38.191,0.001,0.001,1440,0.09999117765351531,858.47339727,roi,0.347,-0.99,0.347,-0.99,32.0,41.47,False,layer:auto,1.0,False,1620691200000,1620777600000,0.0,2
AVAX/USDT,9177.8624,9177.8624,279.2,2021-05-13 00:00:00+00:00,2021-05-13 00:00:00+00:00,32.872,36.232,0.001,0.001,0,0.10001242369215112,918.8181632,roi,0.329,-0.99,0.329,-0.99,30.739,37.17,False,layer:auto,1.0,False,1620864000000,1620864000000,0.0,3
AVAX/USDT,9820.94116,9820.94116,280.31,2021-05-14 00:00:00+00:00,2021-05-15 00:00:00+00:00,35.036,38.617,0.001,0.001,1440,0.1000069401998846,983.14443757,roi,0.351,-0.99,0.351,-0.99,33.276,39.99,False,layer:auto,1.0,False,1620950400000,1621036800000,0.0,5
AVAX/USDT,10509.10752,10509.10752,304.93,2021-05-16 00:00:00+00:00,2021-05-16 00:00:00+00:00,34.464,37.986,0.001,0.001,0,0.09999140831313533,1051.8712815,roi,0.345,-0.99,0.345,-0.99,32.5,39.7,False,layer:auto,1.0,False,1621123200000,1621123200000,0.0,6
AVAX/USDT,11245.52616,11245.52616,307.28,2021-05-17 00:00:00+00:00,2021-08-21 00:00:00+00:00,36.597,40.337,0.001,0.001,138240,0.09999198276925958,1125.58692048,roi,0.366,-0.99,0.366,-0.99,9.325,50.27,False,layer:auto,1.0,False,1621209600000,1629504000000,0.0,5
AVAX/USDT,12033.48913,12033.48913,275.41,2021-08-22 00:00:00+00:00,2021-08-23 00:00:00+00:00,43.693,48.159,0.001,0.001,1440,0.1000109450433301,1204.68410068,roi,0.437,-0.99,0.437,-0.99,40.537,53.623,False,layer:auto,1.0,False,1629590400000,1629676800000,0.0,0
AVAX/USDT,12876.55029,12876.55029,277.47,2021-08-24 00:00:00+00:00,2021-08-24 00:00:00+00:00,46.407,51.15,0.001,0.001,0,0.10000220220661103,1288.97106921,roi,0.465,-0.99,0.465,-0.99,44.151,58.977,False,layer:auto,1.0,False,1629763200000,1629763200000,0.0,1
AVAX/USDT,13778.8805,13778.8805,248.38,2021-08-25 00:00:00+00:00,2021-09-12 00:00:00+00:00,55.475,61.145,0.001,0.001,25920,0.1000059877031486,1379.3485244,roi,0.555,-0.99,0.555,-0.99,32.23,64.9,False,layer:auto,1.0,False,1629849600000,1631404800000,0.0,6
AVAX/USDT,14744.4742,14744.4742,249.02,2021-09-13 00:00:00+00:00,2021-09-16 00:00:00+00:00,59.21,65.26,0.001,0.001,4320,0.09997653081591606,1475.5754806,roi,0.6,-0.99,0.6,-0.99,47.66,68.33,False,layer:auto,1.0,False,1631491200000,1631750400000,0.0,3
AVAX/USDT,15777.5337,15777.5337,233.43,2021-09-17 00:00:00+00:00,2021-09-18 00:00:00+00:00,67.59,74.5,0.001,0.001,1440,0.10003179244191228,1579.8332313,roi,0.68,-0.99,0.68,-0.99,60.36,75.59,False,layer:auto,1.0,False,1631836800000,1631923200000,0.0,5
AVAX/USDT,16882.9822,16882.9822,244.61,2021-09-19 00:00:00+00:00,2021-09-19 00:00:00+00:00,69.02,76.07,0.001,0.001,0,0.09994221947279033,1689.0100351,roi,0.7,-0.99,0.7,-0.99,66.42,76.27,False,layer:auto,1.0,False,1632009600000,1632009600000,0.0,6
AVAX/USDT,18065.6716,18065.6716,257.86,2021-09-20 00:00:00+00:00,2021-09-23 00:00:00+00:00,70.06,77.22,0.001,0.001,4320,0.09999592186289304,1808.2999792,roi,0.71,-0.99,0.71,-0.99,52.55,79.8,False,layer:auto,1.0,False,1632096000000,1632355200000,0.0,3
AVAX/USDT,19331.4399,19331.4399,252.93,2021-09-24 00:00:00+00:00,2021-11-07 00:00:00+00:00,76.43,84.24,0.001,0.001,63360,0.09998283804380888,1934.7450369,roi,0.77,-0.99,0.77,-0.99,51.04,88.88,False,layer:auto,1.0,False,1632441600000,1636243200000,0.0,6
