trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,3.1887,2352.05,buy,1704153600000,True,dynrebal:dr_profit_20,7507.481816834999
,0.1793,2881.2,sell,1708300800000,False,partial_exit,517.1157591599999
,0.0157,2944.8,buy,1708387200000,True,dynrebal:dr_profit_20,46.27959335999999
,0.0224,3014.81,sell,1708473600000,False,partial_exit,67.599275744
,0.0167,2967.91,buy,1708560000000,True,dynrebal:dr_profit_20,49.61366109699999
,0.0118,2922.25,buy,1708732800000,True,dynrebal:dr_profit_20,34.51703254999999
,0.0225,2992.62,sell,1708819200000,False,partial_exit,67.40128394999999
,0.0322,3112.6,sell,1708905600000,False,partial_exit,100.32594571999998
,0.0098,3175.95,sell,1708992000000,False,partial_exit,31.155434309999993
,0.0175,3242.35,sell,1709078400000,False,partial_exit,56.797866125
,0.0375,3383.11,sell,1709164800000,False,partial_exit,126.99349162499999
,0.0208,3340.1,buy,1709251200000,True,dynrebal:dr_profit_20,69.54355407999999
,0.0288,3433.42,sell,1709337600000,False,partial_exit,98.98137849599999
,0.0114,3421.39,buy,1709424000000,True,dynrebal:dr_profit_20,39.042849845999996
,0.0203,3487.8,sell,1709510400000,False,partial_exit,70.87314233999999
,0.0332,3627.75,sell,1709596800000,False,partial_exit,120.56174129999998
,0.0265,3553.66,buy,1709683200000,True,dynrebal:dr_profit_20,94.26616198999999
,0.0801,3818.58,sell,1709769600000,False,partial_exit,306.174126258
,0.0204,3868.76,buy,1709856000000,True,dynrebal:dr_profit_20,79.001626704
,0.0041,3883.37,sell,1709942400000,False,partial_exit,15.937738817
,0.0039,3905.2,sell,1710028800000,False,partial_exit,15.245510279999998
,0.0063,3878.47,buy,1710115200000,True,dynrebal:dr_profit_20,24.458795360999996
,0.0549,4064.8,sell,1710201600000,False,partial_exit,223.38067751999998
,0.0377,3979.97,buy,1710288000000,True,dynrebal:dr_profit_20,150.19491386899995
,0.0071,4004.79,sell,1710374400000,False,partial_exit,28.462443008999998
,0.025,3881.69,buy,1710460800000,True,dynrebal:dr_profit_20,97.13929225
,0.0264,3742.19,buy,1710547200000,True,dynrebal:dr_profit_20,98.89260981599999
,0.0443,3523.09,buy,1710633600000,True,dynrebal:dr_profit_20,156.228959887
,0.0357,3644.7,sell,1710720000000,False,partial_exit,130.24590579
,0.0372,3520.47,buy,1710806400000,True,dynrebal:dr_profit_20,131.09244548399997
,0.083,3158.65,buy,1710892800000,True,dynrebal:dr_profit_20,262.43011795
,0.107,3516.53,sell,1710979200000,False,partial_exit,376.64497871
,0.0361,3492.84,buy,1711065600000,True,dynrebal:dr_profit_20,126.217615524
,0.0341,3336.35,buy,1711152000000,True,dynrebal:dr_profit_20,113.88330453499998
,0.0346,3454.99,sell,1711324800000,False,partial_exit,119.66219665399997
,0.0264,3590.43,sell,1711411200000,False,partial_exit,94.88213935199998
,0.0085,3587.32,buy,1711497600000,True,dynrebal:dr_profit_20,30.52271222
,0.0178,3501.2,buy,1711584000000,True,dynrebal:dr_profit_20,62.38368135999999
,0.017,3560.49,sell,1711670400000,False,partial_exit,60.58885833
,0.0153,3509.74,buy,1711756800000,True,dynrebal:dr_profit_20,53.75272102199999
,0.0388,3645.29,sell,1711929600000,False,partial_exit,141.57868925199998
,0.0412,3503.8,buy,1712016000000,True,dynrebal:dr_profit_20,144.50091655999998
,0.0499,3278.96,buy,1712102400000,True,dynrebal:dr_profit_20,163.783724104
,0.0091,3310.83,sell,1712188800000,False,partial_exit,30.158681552999997
,0.0091,3351.59,sell,1712448000000,False,partial_exit,30.529968468999996
,0.0267,3454.2,sell,1712534400000,False,partial_exit,92.31936714
,0.0593,3694.61,sell,1712620800000,False,partial_exit,219.30946337299997
,0.0575,3506.4,buy,1712707200000,True,dynrebal:dr_profit_20,201.819618
,0.011,3545.64,sell,1712793600000,False,partial_exit,39.04104203999999
,0.0119,3502.52,buy,1712880000000,True,dynrebal:dr_profit_20,41.721667988
,0.0596,3237.42,buy,1712966400000,True,dynrebal:dr_profit_20,193.143182232
,0.0195,3155.11,buy,1713139200000,True,dynrebal:dr_profit_20,61.58616964499999
,0.013,3200.19,sell,1713830400000,False,partial_exit,41.64407246999999
,0.0025,3219.46,sell,1713916800000,False,partial_exit,8.05669865
,0.0191,3140.79,buy,1714003200000,True,dynrebal:dr_profit_20,60.049078088999984
,0.0042,3155.81,sell,1714089600000,False,partial_exit,13.267656401999998
,0.0065,3131.3,buy,1714176000000,True,dynrebal:dr_profit_20,20.373803449999997
,0.0358,3255.55,sell,1714262400000,False,partial_exit,116.66523869
,0.0053,3263.44,buy,1714348800000,True,dynrebal:dr_profit_20,17.313528232
,0.0108,3216.74,buy,1714435200000,True,dynrebal:dr_profit_20,34.77553279199999
