trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,38.604,194.28,buy,1735776000000,True,dynrebal:dr_profit_20,7507.485105119999
,3.362,261.97,sell,1737244800000,False,partial_exit,881.6238831400001
,1.23,252.4,buy,1737331200000,True,dynrebal:dr_profit_20,310.76245199999994
,0.385,242.18,buy,1737417600000,True,dynrebal:dr_profit_20,93.3325393
,0.381,250.33,sell,1737504000000,False,partial_exit,95.47110572999999
,0.223,257.37,sell,1737590400000,False,partial_exit,57.450903509999996
,0.205,253.12,buy,1737676800000,True,dynrebal:dr_profit_20,51.94148959999999
,0.151,256.4,sell,1737849600000,False,partial_exit,38.75511639999999
,0.637,240.49,buy,1737936000000,True,dynrebal:dr_profit_20,153.34532213
,0.085,238.3,buy,1738281600000,True,dynrebal:dr_profit_20,20.2757555
,6.298,141.81,buy,1740441600000,True,dynrebal:dr_profit_20,894.0124993799999
,0.143,144.33,sell,1740528000000,False,partial_exit,20.659829189999996
,0.669,135.33,buy,1740614400000,True,dynrebal:dr_profit_20,90.62630577
,0.136,137.68,sell,1740700800000,False,partial_exit,18.743204480000003
,0.644,148.18,sell,1740787200000,False,partial_exit,95.52334791999999
,0.154,143.66,buy,1740873600000,True,dynrebal:dr_profit_20,22.145763639999995
,0.114,142.16,buy,1741046400000,True,dynrebal:dr_profit_20,16.22244624
,0.151,144.8,sell,1741132800000,False,partial_exit,21.8866648
,0.119,146.27,sell,1741219200000,False,partial_exit,17.42353613
,0.186,143.3,buy,1741305600000,True,dynrebal:dr_profit_20,26.6804538
,0.304,139.39,buy,1741392000000,True,dynrebal:dr_profit_20,42.41693455999999
,0.189,137.01,buy,1741478400000,True,dynrebal:dr_profit_20,25.920784889999997
,0.907,126.52,buy,1741564800000,True,dynrebal:dr_profit_20,114.86839364
,0.773,118.32,buy,1741651200000,True,dynrebal:dr_profit_20,91.55282136
,0.43,125.35,sell,1741737600000,False,partial_exit,53.95440049999999
,0.216,126.61,sell,1741824000000,False,partial_exit,27.37510776
,0.19,123.36,buy,1741910400000,True,dynrebal:dr_profit_20,23.461838399999998
,0.616,133.53,sell,1741996800000,False,partial_exit,82.33673447999999
,0.312,135.86,sell,1742083200000,False,partial_exit,42.43070832
,0.725,126.13,buy,1742169600000,True,dynrebal:dr_profit_20,91.53569424999999
,0.113,128.01,sell,1742256000000,False,partial_exit,14.479595129999998
,0.186,125.33,buy,1742342400000,True,dynrebal:dr_profit_20,23.33469138
,0.609,135.33,sell,1742428800000,False,partial_exit,82.49838596999999
,0.436,127.6,buy,1742515200000,True,dynrebal:dr_profit_20,55.68923359999999
,0.052,128.47,sell,1742601600000,False,partial_exit,6.687120439999999
,0.282,132.85,sell,1742774400000,False,partial_exit,37.50116369999999
,0.571,141.01,sell,1742860800000,False,partial_exit,80.59722670999999
,0.29,143.64,sell,1742947200000,False,partial_exit,41.69725559999999
,0.412,137.35,buy,1743033600000,True,dynrebal:dr_profit_20,56.64478819999999
,0.064,138.44,sell,1743120000000,False,partial_exit,8.86902016
,0.732,129.5,buy,1743206400000,True,dynrebal:dr_profit_20,94.88879399999999
,0.44,124.58,buy,1743292800000,True,dynrebal:dr_profit_20,54.87001519999999
,0.129,126.68,sell,1743552000000,False,partial_exit,16.358061720000002
,0.823,117.42,buy,1743638400000,True,dynrebal:dr_profit_20,96.73329665999998
,0.34,122.8,sell,1743811200000,False,partial_exit,41.793752
,0.068,120.33,buy,1743897600000,True,dynrebal:dr_profit_20,8.190622439999999
,1.547,105.9,buy,1743984000000,True,dynrebal:dr_profit_20,163.9911273
,0.07,106.98,sell,1744070400000,False,partial_exit,7.4960886
,0.127,105.4,buy,1744156800000,True,dynrebal:dr_profit_20,13.3991858
,0.903,119.05,sell,1744243200000,False,partial_exit,107.60965214999999
,0.167,112.8,buy,1744329600000,True,dynrebal:dr_profit_20,18.8564376
,0.561,121.41,sell,1744416000000,False,partial_exit,68.17912101
,0.875,132.24,sell,1744502400000,False,partial_exit,115.82571
,0.045,129.41,sell,1744675200000,False,partial_exit,5.829273449999999
,0.275,126.1,buy,1744761600000,True,dynrebal:dr_profit_20,34.712177499999996
,0.332,131.33,sell,1744848000000,False,partial_exit,43.64516156
,0.308,134.84,sell,1744934400000,False,partial_exit,41.57225072
,0.389,139.86,sell,1745107200000,False,partial_exit,54.45994554
,0.053,137.86,buy,1745193600000,True,dynrebal:dr_profit_20,7.313886579999999
,0.104,136.57,buy,1745280000000,True,dynrebal:dr_profit_20,14.217483279999998
,0.22,140.11,sell,1750464000000,False,partial_exit,30.855024200000003
,0.319,135.43,buy,1750550400000,True,dynrebal:dr_profit_20,43.245372169999996
,0.313,131.71,buy,1750636800000,True,dynrebal:dr_profit_20,41.26645523
,0.464,139.05,sell,1750982400000,False,partial_exit,64.5837192
,4.817,214.43,sell,1756425600000,False,partial_exit,1033.94221931
,0.864,214.11,buy,1757376000000,True,dynrebal:dr_profit_20,185.17603103999997
,0.175,217.22,sell,1757462400000,False,partial_exit,38.0515135
,0.347,224.06,sell,1757548800000,False,partial_exit,77.82656881999999
,0.171,228.73,sell,1757635200000,False,partial_exit,39.151942829999996
,0.7,242.18,sell,1757721600000,False,partial_exit,169.69552599999997
,0.178,242.38,buy,1757808000000,True,dynrebal:dr_profit_20,43.186783639999994
,0.107,239.75,buy,1757894400000,True,dynrebal:dr_profit_20,25.678903249999998
,0.226,234.32,buy,1757980800000,True,dynrebal:dr_profit_20,53.00927631999999
,0.144,236.96,sell,1758067200000,False,partial_exit,34.15636223999999
,0.386,244.84,sell,1758153600000,False,partial_exit,94.60274824
,0.363,238.53,buy,1758326400000,True,dynrebal:dr_profit_20,86.67297638999999
,0.051,239.48,sell,1758412800000,False,partial_exit,12.225693479999997
,0.15,236.16,buy,1758499200000,True,dynrebal:dr_profit_20,35.459424
,0.702,220.39,buy,1758585600000,True,dynrebal:dr_profit_20,154.86849377999997
,0.091,222.04,sell,1759363200000,False,partial_exit,20.225845639999996
,0.684,234.74,sell,1759449600000,False,partial_exit,160.72272216
,0.241,232.84,buy,1759536000000,True,dynrebal:dr_profit_20,56.17055444
,0.215,227.86,buy,1759622400000,True,dynrebal:dr_profit_20,49.038889899999994
,0.037,228.56,sell,1759708800000,False,partial_exit,8.465176719999999
,0.199,232.35,sell,1759795200000,False,partial_exit,46.28388765
,0.6,219.98,buy,1759881600000,True,dynrebal:dr_profit_20,132.11998799999998
,0.499,229.03,sell,1759968000000,False,partial_exit,114.40025596999999
,0.469,220.93,buy,1760054400000,True,dynrebal:dr_profit_20,103.71978616999999
,5.261,144.74,buy,1763078400000,True,dynrebal:dr_profit_20,762.23861714
,0.473,138.93,buy,1763164800000,True,dynrebal:dr_profit_20,65.77960389
,0.043,139.6,sell,1763251200000,False,partial_exit,6.008802799999999
,0.19,137.17,buy,1763337600000,True,dynrebal:dr_profit_20,26.088362299999993
,0.54,131.0,buy,1763424000000,True,dynrebal:dr_profit_20,70.81074
,0.638,140.68,sell,1763510400000,False,partial_exit,89.84359384
,0.136,137.06,buy,1763596800000,True,dynrebal:dr_profit_20,18.65880016
,0.291,133.67,buy,1763683200000,True,dynrebal:dr_profit_20,38.93686796999999
,0.447,128.69,buy,1763769600000,True,dynrebal:dr_profit_20,57.581954429999996
,0.1,127.6,buy,1763856000000,True,dynrebal:dr_profit_20,12.772759999999998
,0.198,130.58,sell,1763942400000,False,partial_exit,25.88069484
,0.573,138.43,sell,1764028800000,False,partial_exit,79.39971039
,0.155,138.96,sell,1764115200000,False,partial_exit,21.5603388
,0.094,137.33,buy,1764374400000,True,dynrebal:dr_profit_20,12.92192902
,0.119,135.92,buy,1764460800000,True,dynrebal:dr_profit_20,16.190654479999996
,0.21,133.48,buy,1764547200000,True,dynrebal:dr_profit_20,28.058830799999992
,0.623,126.66,buy,1764633600000,True,dynrebal:dr_profit_20,78.98808917999999
,0.808,138.67,sell,1764720000000,False,partial_exit,112.15740535999998
,0.188,139.01,sell,1764892800000,False,partial_exit,26.160013879999994
,0.442,133.29,buy,1764979200000,True,dynrebal:dr_profit_20,58.97309417999999
,0.095,132.2,buy,1765065600000,True,dynrebal:dr_profit_20,12.571558999999997
,0.068,133.24,sell,1765238400000,False,partial_exit,9.06938032
,0.325,137.87,sell,1765324800000,False,partial_exit,44.85255775
,0.049,136.26,buy,1765411200000,True,dynrebal:dr_profit_20,6.683416739999999
,0.346,132.28,buy,1765584000000,True,dynrebal:dr_profit_20,45.81464887999999
,0.056,133.13,sell,1765670400000,False,partial_exit,7.4627352799999995
,0.316,129.39,buy,1765756800000,True,dynrebal:dr_profit_20,40.928127239999995
,0.144,127.81,buy,1765843200000,True,dynrebal:dr_profit_20,18.423044639999997
,0.09,129.15,sell,1765929600000,False,partial_exit,11.635123499999999
,0.523,123.28,buy,1766016000000,True,dynrebal:dr_profit_20,64.53991544
,0.364,119.6,buy,1766102400000,True,dynrebal:dr_profit_20,43.5779344
,0.462,126.27,sell,1766188800000,False,partial_exit,58.39507673999999
,0.09,125.8,sell,1766275200000,False,partial_exit,11.333321999999997
,0.04,126.03,sell,1766361600000,False,partial_exit,5.046241199999999
,0.174,124.02,buy,1766534400000,True,dynrebal:dr_profit_20,21.601059479999993
,0.145,122.52,buy,1766620800000,True,dynrebal:dr_profit_20,17.783165399999998
,0.243,120.05,buy,1766707200000,True,dynrebal:dr_profit_20,29.201322149999996
,0.153,122.27,sell,1766793600000,False,partial_exit,18.726017309999996
,0.215,124.74,sell,1766880000000,False,partial_exit,26.845919099999996
,0.095,125.27,sell,1766966400000,False,partial_exit,11.91255065
,0.153,123.28,buy,1767052800000,True,dynrebal:dr_profit_20,18.88070184
,0.119,125.02,sell,1767139200000,False,partial_exit,14.892257379999997
,47.132,124.64,sell,1767225600000,False,force_exit,5880.407012479999
