pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
SOL/USDT,8285.9704596,8285.9704596,585.217,2021-03-20 00:00:00+00:00,2021-04-19 00:00:00+00:00,14.1588,32.3324,0.001,0.001,43200,1.278992555880476,10608.29223061,ai_shield_v2:bearish,0.1416,-0.99,0.1416,-0.99,12.3043,36.095,False,ai_shield_v2:sigmoid,1.0,False,1616198400000,1618790400000,0.0,0
SOL/USDT,17154.6272604,17154.6272604,544.068,2021-04-20 00:00:00+00:00,2021-05-20 00:00:00+00:00,31.5303,34.987,0.001,0.001,43200,0.10741400824252526,1844.48992122,ai_shield_v2:bearish,0.3154,-0.99,0.3154,-0.99,26.5,58.38,False,ai_shield_v2:sigmoid,1.0,False,1618876800000,1621468800000,0.0,3
SOL/USDT,18112.444196,18112.444196,580.118,2021-05-23 00:00:00+00:00,2021-05-25 00:00:00+00:00,31.222,31.42,0.001,0.001,2880,0.004331009455380468,78.52361224,ai_shield_v2:bearish,0.313,-0.99,0.313,-0.99,19.117,33.195,False,ai_shield_v2:sigmoid,1.0,False,1621728000000,1621900800000,0.0,1
SOL/USDT,33607.34889967,45179.118892,406.463,2021-06-30 00:00:00+00:00,2021-09-08 00:00:00+00:00,82.682,173.49,0.001,0.001,100800,1.4410074904836452,65168.552185559995,ai_shield_v2:bearish,0.34,-0.99,0.827,-0.99,22.1,198.0,False,ai_shield_v2:sigmoid,1.0,False,1625011200000,1631059200000,0.0,2
SOL/USDT,27692.27507049,71339.41499,148.88,2021-09-09 00:00:00+00:00,2021-12-05 00:00:00+00:00,186.0,200.68,0.001,0.001,125280,0.14985406769056941,10701.192024439999,ai_shield_v2:bearish,1.92,-0.99,1.92,-0.99,116.0,259.9,False,ai_shield_v2:sigmoid,1.0,False,1631145600000,1638662400000,0.0,6
SOL/USDT,53706.88501,53706.88501,1989.695,2023-07-16 00:00:00+00:00,2023-08-09 00:00:00+00:00,26.99,24.22,0.001,0.001,34560,-0.10450720890280026,-5618.36940791,ai_shield_v2:bearish,0.28,-0.99,0.28,-0.99,22.23,28.7,False,ai_shield_v2:sigmoid,1.0,False,1689465600000,1691539200000,0.0,2
SOL/USDT,47553.40251,47553.40251,1949.709,2023-08-10 00:00:00+00:00,2023-08-18 00:00:00+00:00,24.39,21.67,0.001,0.001,11520,-0.11329629779814282,-5393.01207654,ai_shield_v2:bearish,0.25,-0.99,0.25,-0.99,20.0,25.42,False,ai_shield_v2:sigmoid,1.0,False,1691625600000,1692316800000,0.0,4
SOL/USDT,48323.1471,48323.1471,2128.773,2023-10-06 00:00:00+00:00,2023-10-17 00:00:00+00:00,22.7,23.95,0.001,0.001,15840,0.052958055160698334,2561.65898955,ai_shield_v2:bearish,0.23,-0.99,0.23,-0.99,20.93,24.75,False,ai_shield_v2:sigmoid,1.0,False,1696550400000,1697500800000,0.0,1
SOL/USDT,50479.69248,50479.69248,2108.592,2023-10-18 00:00:00+00:00,2023-10-24 00:00:00+00:00,23.94,31.88,0.001,0.001,8640,0.3290018252424267,16624.51887456,ai_shield_v2:bearish,0.24,-0.99,0.24,-0.99,23.11,32.81,False,ai_shield_v2:sigmoid,1.0,False,1697587200000,1698105600000,0.0,1
SOL/USDT,60315.1827,60315.1827,1998.515,2023-10-25 00:00:00+00:00,2023-11-10 00:00:00+00:00,30.18,45.3,0.001,0.001,23040,0.4979950467028002,30066.6988878,ai_shield_v2:bearish,0.31,-0.99,0.31,-0.99,30.0,57.54,False,ai_shield_v2:sigmoid,1.0,False,1698192000000,1699574400000,0.0,4
SOL/USDT,84837.3527,109224.09713,1249.096,2023-11-11 00:00:00+00:00,2024-02-29 00:00:00+00:00,67.92,119.03,0.001,0.001,158400,0.7827015901739142,85575.36438347,ai_shield_v2:bearish,0.57,-0.99,0.68,-0.99,51.12,134.65,False,ai_shield_v2:sigmoid,1.0,False,1699660800000,1709164800000,0.0,3
SOL/USDT,155269.37373,155269.37373,1161.48,2024-03-05 00:00:00+00:00,2024-06-25 00:00:00+00:00,133.68,132.34,0.001,0.001,161280,-0.012019266247780548,-1868.09016693,ai_shield_v2:bearish,1.34,-0.99,1.34,-0.99,105.0,210.18,False,ai_shield_v2:sigmoid,1.0,False,1709596800000,1719273600000,0.0,1
SOL/USDT,166211.86789,166211.86789,917.485,2024-07-22 00:00:00+00:00,2024-08-06 00:00:00+00:00,181.16,129.79,0.001,0.001,21600,-0.2849941654275607,-47416.78198604,ai_shield_v2:bearish,1.85,-0.99,1.85,-0.99,110.0,193.98,False,ai_shield_v2:sigmoid,1.0,False,1721606400000,1722902400000,0.0,1
SOL/USDT,122300.8796,122300.8796,846.959,2024-08-07 00:00:00+00:00,2024-09-01 00:00:00+00:00,144.4,135.35,0.001,0.001,36000,-0.06454591115255935,-7901.91573025,ai_shield_v2:bearish,1.45,-0.99,1.45,-0.99,127.66,163.7,False,ai_shield_v2:sigmoid,1.0,False,1722988800000,1725148800000,0.0,6
SOL/USDT,131965.90282,131965.90282,864.146,2024-10-01 00:00:00+00:00,2024-11-07 00:00:00+00:00,152.71,186.59,0.001,0.001,53280,0.2193971234755687,28981.89241504,ai_shield_v2:bearish,1.53,-0.99,1.53,-0.99,133.11,197.84,False,ai_shield_v2:sigmoid,1.0,False,1727740800000,1730937600000,0.0,3
SOL/USDT,156803.18031,156803.18031,746.433,2024-11-11 00:00:00+00:00,2024-12-06 00:00:00+00:00,210.07,235.84,0.001,0.001,36000,0.12043029089727811,18902.73647097,ai_shield_v2:bearish,2.11,-0.99,2.11,-0.99,200.67,264.39,False,ai_shield_v2:sigmoid,1.0,False,1731283200000,1733443200000,0.0,4
SOL/USDT,182298.62268,182298.62268,779.311,2024-12-07 00:00:00+00:00,2025-02-19 00:00:00+00:00,233.92,169.32,0.001,0.001,106560,-0.2776177112629253,-50659.9357212,ai_shield_v2:bearish,2.37,-0.99,2.37,-0.99,160.88,295.83,False,ai_shield_v2:sigmoid,1.0,False,1733529600000,1739923200000,0.0,2
SOL/USDT,130320.74128,130320.74128,748.024,2025-05-13 00:00:00+00:00,2025-06-15 00:00:00+00:00,174.22,144.65,0.001,0.001,47520,-0.17138681545753065,-22357.59209288,ai_shield_v2:bearish,1.75,-0.99,1.75,-0.99,140.21,187.71,False,ai_shield_v2:sigmoid,1.0,False,1747094400000,1749945600000,0.0,6
SOL/USDT,108803.27964,108803.27964,614.812,2025-07-20 00:00:00+00:00,2025-10-11 00:00:00+00:00,176.97,188.43,0.001,0.001,119520,0.0626293523394727,6821.0932152,ai_shield_v2:bearish,1.77,-0.99,1.77,-0.99,155.83,253.51,False,ai_shield_v2:sigmoid,1.0,False,1752969600000,1760140800000,0.0,5
