trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,0.171,20882.7,buy,1673827200000,True,calendar_fut:long,3572.72717085
,0.171,23545.2,sell,1677456000000,False,calendar_fut:short_exit,4028.2423146
,0.19,24287.9,buy,1678924800000,True,calendar_fut:long,4617.008350499999
,0.19,27252.6,sell,1682121600000,False,calendar_fut:short_exit,5180.5829969999995
,0.174,29875.0,buy,1687478400000,True,calendar_fut:long,5200.849125
,0.174,30070.9,sell,1690156800000,False,calendar_fut:short_exit,5234.9527683
,0.261,27398.3,buy,1696550400000,True,calendar_fut:long,7154.53177815
,0.261,26849.7,sell,1697241600000,False,calendar_fut:short_exit,7011.2755858499995
,0.262,28307.2,buy,1697673600000,True,calendar_fut:long,7420.1946432
,0.262,33074.0,sell,1698105600000,False,calendar_fut:short_exit,8669.720694
,0.235,33917.0,buy,1698192000000,True,calendar_fut:long,7974.4802475
,0.235,36719.6,sell,1699574400000,False,calendar_fut:short_exit,8633.420553
,0.195,37330.3,buy,1699660800000,True,calendar_fut:long,7283.04820425
,0.195,42314.0,sell,1704067200000,False,force_exit,8255.355614999999
