trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,20.51,313.53,buy,1704153600000,True,calendar_fut:long,6433.715550149999
,20.51,312.73,sell,1705622400000,False,calendar_fut:short_exit,6417.299346150001
,17.82,360.24,buy,1708128000000,True,calendar_fut:long,6422.6865384
,17.82,566.01,sell,1713139200000,False,calendar_fut:short_exit,10091.3413491
,17.47,553.11,buy,1726444800000,True,calendar_fut:long,9667.663115849999
,17.47,559.32,sell,1726704000000,False,calendar_fut:short_exit,9776.2060602
,16.92,660.22,buy,1732492800000,True,calendar_fut:long,11176.507861200002
,16.92,735.66,sell,1733270400000,False,calendar_fut:short_exit,12453.5908836
,16.57,740.46,buy,1733356800000,True,calendar_fut:long,12275.5569111
,16.57,696.63,sell,1735084800000,False,calendar_fut:short_exit,11548.93067955
