trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,0.171,20882.7,buy,1673827200000,True,calendar_fut:long,3572.72717085
,0.034,22819.9,buy,1675123200000,True,calendar_fut:long,776.2645383
,0.205,23545.2,sell,1677456000000,False,calendar_fut:short_exit,4829.179383
,0.19,24287.9,buy,1678924800000,True,calendar_fut:long,4617.008350499999
,0.19,27252.6,sell,1682121600000,False,calendar_fut:short_exit,5180.5829969999995
,0.174,29875.0,buy,1687478400000,True,calendar_fut:long,5200.849125
,0.03,30260.1,buy,1687824000000,True,calendar_fut:long,908.2569014999998
,0.204,30070.9,sell,1690156800000,False,calendar_fut:short_exit,6137.5308318
,0.261,27398.3,buy,1696550400000,True,calendar_fut:long,7154.53177815
,0.261,26849.7,sell,1697241600000,False,calendar_fut:short_exit,7011.2755858499995
,0.263,28307.2,buy,1697673600000,True,calendar_fut:long,7448.515996800001
,0.263,33074.0,sell,1698105600000,False,calendar_fut:short_exit,8702.811231
,0.236,33917.0,buy,1698192000000,True,calendar_fut:long,8008.414205999999
,0.017,34483.8,buy,1698710400000,True,calendar_fut:long,586.5177123000001
,0.042,35437.5,sell,1698883200000,False,partial_exit,1489.1191875
,0.211,36719.6,sell,1699574400000,False,calendar_fut:short_exit,7751.709517799999
,0.195,37330.3,buy,1699660800000,True,calendar_fut:long,7283.04820425
,0.026,37234.4,buy,1701129600000,True,calendar_fut:long,968.5784471999999
,0.221,42314.0,sell,1704067200000,False,force_exit,9356.069696999999
