pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
BTC/USDT:USDT,6413.3935,6413.3935,0.145,2024-01-02 00:00:00+00:00,2024-01-06 00:00:00+00:00,44230.3,44145.3,0.0005,0.0005,5760,-0.005664279642731818,-36.34541787,calendar_fut:short_exit,442.4,-0.99,442.4,-0.99,40333.0,45950.0,False,calendar_fut:long,1.0,False,1704153600000,1704499200000,-17.613186866971724,5
BTC/USDT:USDT,6633.3568,6633.3568,0.128,2024-02-15 00:00:00+00:00,2024-02-29 00:00:00+00:00,51823.1,62487.9,0.0005,0.0005,20160,0.19628131582481442,1302.65500304,calendar_fut:short_exit,518.3,-0.99,518.3,-0.99,50512.7,64300.0,False,calendar_fut:long,1.0,False,1707955200000,1709164800000,-55.123492959565034,3
BTC/USDT:USDT,7589.2092,7589.2092,0.124,2024-03-01 00:00:00+00:00,2024-04-08 00:00:00+00:00,61203.3,69362.7,0.0005,0.0005,54720,0.09384282739438679,712.54894544,calendar_fut:short_exit,612.1,-0.99,612.1,-0.99,59112.0,73881.4,False,calendar_fut:long,1.0,False,1709251200000,1712534400000,-291.1215625596427,0
BTC/USDT:USDT,8702.5988,8702.5988,0.127,2024-05-27 00:00:00+00:00,2024-06-03 00:00:00+00:00,68524.4,67805.9,0.0005,0.0005,10080,-0.01375725351845698,-119.78371989,calendar_fut:short_exit,685.3,-0.99,685.3,-0.99,66700.5,70750.0,False,calendar_fut:long,1.0,False,1716768000000,1717372800000,-19.877245841391655,0
BTC/USDT:USDT,8357.94,8357.94,0.118,2024-06-07 00:00:00+00:00,2024-06-15 00:00:00+00:00,70830.0,66039.7,0.0005,0.0005,11520,-0.07098508294841924,-593.58570871,calendar_fut:short_exit,708.4,-0.99,708.4,-0.99,65052.4,72144.0,False,calendar_fut:long,1.0,False,1717718400000,1718409600000,-20.254996411229737,5
BTC/USDT:USDT,8417.43,8417.43,0.124,2024-07-27 00:00:00+00:00,2024-08-06 00:00:00+00:00,67882.5,54003.5,0.0005,0.0005,14400,-0.20739928722292622,-1746.64186674,calendar_fut:short_exit,678.9,-0.99,678.9,-0.99,48888.0,70081.0,False,calendar_fut:long,1.0,False,1722038400000,1722902400000,-18.088934740018033,1
BTC/USDT:USDT,6697.878,6697.878,0.11,2024-08-11 00:00:00+00:00,2024-08-14 00:00:00+00:00,60889.8,60550.4,0.0005,0.0005,4320,-0.006713019727505754,-44.98546864,calendar_fut:short_exit,608.9,-0.99,608.9,-0.99,57615.0,62000.0,False,calendar_fut:long,1.0,False,1723334400000,1723593600000,-0.9722576403459174,2
BTC/USDT:USDT,7331.7744,7331.7744,0.112,2024-09-29 00:00:00+00:00,2024-10-07 00:00:00+00:00,65462.3,62789.2,0.0005,0.0005,11520,-0.04296499082269838,-315.16712462,calendar_fut:short_exit,658.3,-0.99,658.3,-0.99,59815.0,66059.3,False,calendar_fut:long,1.0,False,1727568000000,1728259200000,-8.60104222142285,0
BTC/USDT:USDT,7482.1215,7482.1215,0.111,2024-10-23 00:00:00+00:00,2024-10-28 00:00:00+00:00,67406.5,67992.7,0.0005,0.0005,7200,0.006177718235501069,46.24554965,calendar_fut:short_exit,674.1,-0.99,674.1,-0.99,65222.3,70331.0,False,calendar_fut:long,1.0,False,1729641600000,1730073600000,-11.307994748342658,0
BTC/USDT:USDT,7594.7652,7594.7652,0.108,2024-11-01 00:00:00+00:00,2024-11-07 00:00:00+00:00,70321.9,75579.9,0.0005,0.0005,8640,0.07180794308116357,545.63714943,calendar_fut:short_exit,703.3,-0.99,703.3,-0.99,66810.0,76900.0,False,calendar_fut:long,1.0,False,1730419200000,1730937600000,-14.348153371350277,3
BTC/USDT:USDT,7813.5182,7813.5182,0.103,2024-11-08 00:00:00+00:00,2024-12-06 00:00:00+00:00,75859.4,97001.6,0.0005,0.0005,40320,0.25927975833276845,2026.90005418,calendar_fut:short_exit,758.6,-0.99,758.6,-0.99,75576.3,104630.4,False,calendar_fut:long,1.0,False,1731024000000,1733443200000,-141.84420431978677,4
BTC/USDT:USDT,9581.04,9581.04,0.096,2024-12-07 00:00:00+00:00,2024-12-23 00:00:00+00:00,99802.5,95153.4,0.0005,0.0005,23040,-0.053102564615340186,-509.03218458,calendar_fut:short_exit,998.1,-0.99,998.1,-0.99,92272.6,108366.8,False,calendar_fut:long,1.0,False,1733529600000,1734912000000,-53.360701378853335,0
