trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,1.809,2605.43,sell,1646956800000,True,calendar_fut:short,4715.579481434999
,1.809,2860.53,buy,1647820800000,False,calendar_fut:short_exit,5177.286119384999
,1.597,2935.39,sell,1651190400000,True,calendar_fut:short,4690.161738915
,0.254,2227.62,sell,1652140800000,True,calendar_fut:short,566.0983877399999
,1.851,2083.98,buy,1652313600000,False,calendar_fut:short_exit,3859.37570349
,2.745,1959.79,sell,1652400000000,True,calendar_fut:short,5382.313361775
,0.372,1532.19,sell,1654992000000,True,calendar_fut:short,570.25966734
,3.117,1209.03,buy,1655164800000,False,calendar_fut:short_exit,3770.430783255
,5.311,1208.32,sell,1655251200000,True,calendar_fut:short,6420.596213759999
,5.311,1059.16,buy,1656720000000,False,calendar_fut:short_exit,5628.01135938
