pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
XRP/USDT,7902.85398,7902.85398,9674.2,2021-08-10 00:00:00+00:00,2021-09-08 00:00:00+00:00,0.8169,1.129,0.001,0.001,41760,0.3792927601227271,3000.49279422,calendar_shield:exit,0.0082,-0.99,0.0082,-0.99,0.8,1.4151,False,calendar_shield,1.0,False,1628553600000,1631059200000,0.0,2
XRP/USDT,5095.28675,10111.82066,4632.5,2021-09-09 00:00:00+00:00,2021-12-05 00:00:00+00:00,1.0999,0.8452,0.001,0.001,125280,-0.12271216588267639,-1242.08425762,calendar_shield:exit,0.011,-0.99,0.011,-0.99,0.6,1.3493,False,calendar_shield,1.0,False,1631145600000,1638662400000,0.0,6
XRP/USDT,5636.25393,5636.25393,12564.5,2023-03-24 00:00:00+00:00,2023-05-11 00:00:00+00:00,0.4486,0.4303,0.001,0.001,69120,-0.042679373477679076,-240.79233828,calendar_shield:exit,0.0045,-0.99,0.0045,-0.99,0.41,0.585,False,calendar_shield,1.0,False,1679616000000,1683763200000,0.0,3
XRP/USDT,6805.15734615,9127.08837,11850.7,2023-06-03 00:00:00+00:00,2023-08-09 00:00:00+00:00,0.5742,0.6418,0.001,0.001,96480,0.23158574086731148,2115.81722565,calendar_shield:exit,0.0053,-0.99,0.0058,-0.99,0.4493,0.938,False,calendar_shield,1.0,False,1685750400000,1691539200000,0.0,2
XRP/USDT,7529.32416,7529.32416,11702.4,2023-08-10 00:00:00+00:00,2023-08-18 00:00:00+00:00,0.6434,0.5064,0.001,0.001,11520,-0.21450386728596238,-1616.68421952,calendar_shield:exit,0.0065,-0.99,0.0065,-0.99,0.4226,0.6445,False,calendar_shield,1.0,False,1691625600000,1692316800000,0.0,4
XRP/USDT,6985.41536,8339.99232,12581.8,2023-10-26 00:00:00+00:00,2023-11-10 00:00:00+00:00,0.5552,0.6667,0.001,0.001,21600,0.1814081364567929,1514.4554073000002,calendar_shield:exit,0.0056,-0.99,0.0056,-0.99,0.5325,0.7324,False,calendar_shield,1.0,False,1698278400000,1699574400000,0.0,4
XRP/USDT,9218.36161,9218.36161,14223.6,2023-11-11 00:00:00+00:00,2024-01-22 00:00:00+00:00,0.6481,0.5464,0.001,0.001,103680,-0.15860894309807205,-1463.57670665,calendar_shield:exit,0.0066,-0.99,0.0066,-0.99,0.5,0.75,False,calendar_shield,1.0,False,1699660800000,1705881600000,0.0,0
XRP/USDT,9034.745,9034.745,14432.5,2024-07-18 00:00:00+00:00,2024-08-06 00:00:00+00:00,0.626,0.4889,0.001,0.001,27360,-0.2205700050747974,-1994.78654425,calendar_shield:exit,0.0063,-0.99,0.0063,-0.99,0.4319,0.6586,False,calendar_shield,1.0,False,1721260800000,1722902400000,0.0,1
XRP/USDT,8410.37023,8410.37023,14539.2,2024-08-10 00:00:00+00:00,2024-10-28 00:00:00+00:00,0.5785,0.5168,0.001,0.001,113760,-0.10838100457981674,-912.43589879,calendar_shield:exit,0.0059,-0.99,0.0059,-0.99,0.486,0.6649,False,calendar_shield,1.0,False,1723248000000,1730073600000,0.0,0
XRP/USDT,8450.2925,10522.81295,11182.6,2024-11-11 00:00:00+00:00,2024-12-06 00:00:00+00:00,0.7557,2.2445,0.001,0.001,36000,1.872320450023009,19721.77995593,calendar_shield:exit,0.0059,-0.99,0.0076,-0.99,0.5703,2.9092,False,calendar_shield,1.0,False,1731283200000,1733443200000,0.0,4
XRP/USDT,24784.8419,24784.8419,10321.0,2024-12-07 00:00:00+00:00,2025-04-09 00:00:00+00:00,2.4014,1.7965,0.001,0.001,177120,-0.2533892179757381,-6286.4919184,calendar_shield:exit,0.0243,-0.99,0.0243,-0.99,1.6134,3.4,False,calendar_shield,1.0,False,1733529600000,1744156800000,0.0,2
XRP/USDT,18120.46362,18120.46362,7614.6,2025-05-17 00:00:00+00:00,2025-10-11 00:00:00+00:00,2.3797,2.3704,0.001,0.001,211680,-0.005898249332295641,-106.98589146,calendar_shield:exit,0.0238,-0.99,0.0238,-0.99,1.2543,3.6607,False,calendar_shield,1.0,False,1747440000000,1760140800000,0.0,5
