trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,0.40722,20872.99,buy,1673827200000,True,triple:tr_strict,8508.3988867878
,0.40722,20677.47,sell,1674086400000,False,triple:lost_consensus,8428.6996127334
,0.3028,27800.0,buy,1680566400000,True,triple:tr_strict,8426.257839999998
,0.3028,28797.1,sell,1681948800000,False,triple:lost_consensus,8728.481641879998
,0.28792,30077.4,buy,1687996800000,True,triple:tr_strict,8668.544893008
,0.28792,30471.99,sell,1688169600000,False,triple:lost_consensus,8782.268856160801
,0.28057,31156.2,buy,1688428800000,True,triple:tr_strict,8750.236529033999
,0.28057,29901.72,sell,1689984000000,False,triple:lost_consensus,8397.915105980399
,0.30547,27590.12,buy,1696896000000,True,triple:tr_strict,8436.3819103564
,0.30547,26875.52,sell,1697068800000,False,triple:lost_consensus,8217.8747594944
,0.22093,37242.7,buy,1701129600000,True,triple:tr_strict,8236.257740710998
,0.22093,44073.82,sell,1701820800000,False,triple:lost_consensus,9746.966281652598
