pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
ETH/USDT,8152.931241,8152.931241,11.1851,2021-01-02 00:00:00+00:00,2021-01-12 00:00:00+00:00,728.91,1087.0,0.001,0.001,14400,0.488288227391943,3984.96132406,calendar_shield:exit,7.29,-0.99,7.29,-0.99,714.91,1348.33,False,calendar_shield,1.0,False,1609545600000,1610409600000,0.0,1
ETH/USDT,11434.008888,11434.008888,10.8858,2021-01-13 00:00:00+00:00,2021-01-22 00:00:00+00:00,1050.36,1111.98,0.001,0.001,12960,0.05655038438101725,647.24419523,calendar_shield:exit,10.51,-0.99,10.51,-0.99,987.48,1438.3,False,calendar_shield,1.0,False,1610496000000,1611273600000,0.0,4
ETH/USDT,11991.939429,11991.939429,9.7289,2021-01-23 00:00:00+00:00,2021-01-29 00:00:00+00:00,1232.61,1329.44,0.001,0.001,8640,0.07640192455382452,917.12345876,calendar_shield:exit,12.33,-0.99,12.33,-0.99,1195.9,1475.0,False,calendar_shield,1.0,False,1611360000000,1611878400000,0.0,4
ETH/USDT,12845.951076,12845.951076,9.3219,2021-01-31 00:00:00+00:00,2021-02-09 00:00:00+00:00,1378.04,1749.68,0.001,0.001,12960,0.2671505441525076,3435.23462293,calendar_shield:exit,13.79,-0.99,13.79,-0.99,1269.99,1821.88,False,calendar_shield,1.0,False,1612051200000,1612828800000,0.0,1
ETH/USDT,15620.444716,15620.444716,8.8294,2021-02-10 00:00:00+00:00,2021-02-24 00:00:00+00:00,1769.14,1577.79,0.001,0.001,20160,-0.10994179520682439,-1719.05707374,calendar_shield:exit,17.7,-0.99,17.7,-0.99,1355.0,2042.34,False,calendar_shield,1.0,False,1612915200000,1614124800000,0.0,2
ETH/USDT,14323.900052,14323.900052,8.8247,2021-02-25 00:00:00+00:00,2021-04-19 00:00:00+00:00,1623.16,2235.65,0.001,0.001,76320,0.3745922563597102,5370.98766239,calendar_shield:exit,16.24,-0.99,16.24,-0.99,1293.18,2548.29,False,calendar_shield,1.0,False,1614211200000,1618790400000,0.0,0
ETH/USDT,18913.690016,18913.690016,8.7518,2021-04-20 00:00:00+00:00,2021-05-20 00:00:00+00:00,2161.12,2438.92,0.001,0.001,43200,0.12628962434629323,2390.99140993,calendar_shield:exit,21.62,-0.99,21.62,-0.99,1888.0,4372.72,False,calendar_shield,1.0,False,1618876800000,1621468800000,0.0,3
ETH/USDT,20189.40093,20189.40093,8.7954,2021-05-23 00:00:00+00:00,2021-05-25 00:00:00+00:00,2295.45,2647.92,0.001,0.001,2880,0.15124679280717215,3056.6357215,calendar_shield:exit,22.96,-0.99,22.96,-0.99,1728.74,2750.0,False,calendar_shield,1.0,False,1621728000000,1621900800000,0.0,1
ETH/USDT,23019.998154,23019.998154,7.9797,2021-05-27 00:00:00+00:00,2021-06-10 00:00:00+00:00,2884.82,2610.2,0.001,0.001,20160,-0.09700265001444945,-2235.23382509,calendar_shield:exit,28.85,-0.99,28.85,-0.99,2180.53,2891.95,False,calendar_shield,1.0,False,1622073600000,1623283200000,0.0,3
ETH/USDT,20763.87885,20763.87885,8.2035,2021-08-01 00:00:00+00:00,2021-09-08 00:00:00+00:00,2531.1,3434.84,0.001,0.001,54720,0.354342848096552,7364.88950121,calendar_shield:exit,25.32,-0.99,25.32,-0.99,2442.32,4027.88,False,calendar_shield,1.0,False,1627776000000,1631059200000,0.0,2
ETH/USDT,11325.07007074,33339.056927,2.9771,2021-09-09 00:00:00+00:00,2021-12-05 00:00:00+00:00,3804.06,4117.25,0.001,0.001,125280,0.19117039256404245,6379.814041049999,calendar_shield:exit,35.0,-0.99,38.05,-0.99,2652.0,4868.0,False,calendar_shield,1.0,False,1631145600000,1638662400000,0.0,6
