trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,245.577,24.3517,buy,1581292800000,True,calendar_shield,5986.1976483309
,25.627,22.3702,buy,1582156800000,True,calendar_shield,573.8543965153999
,34.451,18.7338,buy,1582761600000,True,calendar_shield,646.0435419437999
,305.655,16.853,sell,1583884800000,False,calendar_shield:exit,5156.354918714999
,323.056,18.4007,buy,1594684800000,True,calendar_shield,5950.400995739199
,323.056,20.4027,sell,1599177600000,False,calendar_shield:exit,6597.805865851198
,223.668,27.1106,buy,1600387200000,True,calendar_shield,6069.8374544808
,18.658,23.1273,buy,1600732800000,True,calendar_shield,431.94067256339997
,242.326,29.7355,sell,1603324800000,False,calendar_shield:exit,7212.890457772998
,225.884,33.6741,buy,1609113600000,True,calendar_shield,7614.046844804399
,225.884,37.3596,sell,1609459200000,False,force_exit,8447.374822286398
