pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
BNB/USDT,8152.9562478,8152.9562478,215.894,2021-01-02 00:00:00+00:00,2021-01-12 00:00:00+00:00,37.7637,38.1623,0.001,0.001,14400,0.008536018673227397,69.66338056,calendar_shield:exit,0.3777,-0.99,0.3777,-0.99,35.0374,45.162,False,calendar_shield,1.0,False,1609545600000,1610409600000,0.0,1
BNB/USDT,8232.8982875,8232.8982875,215.125,2021-01-13 00:00:00+00:00,2021-01-22 00:00:00+00:00,38.2703,38.6596,0.001,0.001,12960,0.008154052671299478,67.19861776,calendar_shield:exit,0.3828,-0.99,0.3828,-0.99,36.8518,47.2187,False,calendar_shield,1.0,False,1610496000000,1611273600000,0.0,4
BNB/USDT,8307.7390452,8307.7390452,203.154,2021-01-23 00:00:00+00:00,2021-01-29 00:00:00+00:00,40.8938,42.5277,0.001,0.001,8640,0.03787688036901652,314.98590919,calendar_shield:exit,0.409,-0.99,0.409,-0.99,39.4555,44.0,False,calendar_shield,1.0,False,1611360000000,1611878400000,0.0,4
BNB/USDT,8640.92268,8640.92268,165.789,2021-02-04 00:00:00+00:00,2021-02-09 00:00:00+00:00,52.12,79.8734,0.001,0.001,7200,0.5294284878593334,4579.32537881,calendar_shield:exit,0.5213,-0.99,0.5213,-0.99,51.25,116.24,False,calendar_shield,1.0,False,1612396800000,1612828800000,0.0,1
BNB/USDT,18399.6256536,22942.4460264,114.687,2021-02-10 00:00:00+00:00,2021-02-24 00:00:00+00:00,160.4334,231.3646,0.001,0.001,20160,0.7676657594504578,17629.74238276,calendar_shield:exit,1.0735,-0.99,1.6044,-0.99,107.2811,348.6969,False,calendar_shield,1.0,False,1612915200000,1614124800000,0.0,2
BNB/USDT,27096.3257868,27096.3257868,106.518,2021-02-25 00:00:00+00:00,2021-04-19 00:00:00+00:00,254.3826,481.5112,0.001,0.001,76320,0.8890802266362742,24114.89827901,calendar_shield:exit,2.5439,-0.99,2.5439,-0.99,195.0,638.5673,False,calendar_shield,1.0,False,1614211200000,1618790400000,0.0,0
BNB/USDT,47438.5025996,47438.5025996,94.118,2021-04-20 00:00:00+00:00,2021-05-20 00:00:00+00:00,504.0322,334.8,0.001,0.001,43200,-0.337083882872831,-16006.7454086,calendar_shield:exit,5.0404,-0.99,5.0404,-0.99,280.0,691.77,False,calendar_shield,1.0,False,1618876800000,1621468800000,0.0,3
BNB/USDT,31632.3273,31632.3273,77.405,2021-08-15 00:00:00+00:00,2021-09-08 00:00:00+00:00,408.66,418.7,0.001,0.001,34560,0.022521011509412627,713.1043992,calendar_shield:exit,4.09,-0.99,4.09,-0.99,369.0,518.94,False,calendar_shield,1.0,False,1628985600000,1631059200000,0.0,2
BNB/USDT,32264.7768,32264.7768,77.709,2021-09-09 00:00:00+00:00,2021-09-28 00:00:00+00:00,415.2,335.5,0.001,0.001,27360,-0.19357015816553388,-6251.7434463,calendar_shield:exit,4.2,-0.99,4.2,-0.99,320.0,439.4,False,calendar_shield,1.0,False,1631145600000,1632787200000,0.0,1
BNB/USDT,15740.6824,20111.9592,24.399,2021-11-09 00:00:00+00:00,2021-12-05 00:00:00+00:00,645.1,568.5,0.001,0.001,37440,-0.09959650826009087,-2005.0839915,calendar_shield:exit,6.6,-0.99,6.6,-0.99,489.2,662.9,False,calendar_shield,1.0,False,1636416000000,1638662400000,0.0,6
