trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,0.2079,20872.99,buy,1673827200000,True,macro_shield:enter,4343.834115621
,0.02894,22827.38,buy,1675123200000,True,macro_shield:enter,661.2850015772
,0.05255,21797.83,sell,1675987200000,False,partial_exit,1146.6214424665
,0.03002,21774.63,buy,1676332800000,True,macro_shield:enter,654.3280669925999
,0.06371,24450.67,sell,1677024000000,False,partial_exit,1559.3099378856998
,0.03512,24182.21,buy,1677110400000,True,macro_shield:enter,850.1284944151998
,0.02554,23492.09,buy,1677542400000,True,,600.5879665786
,0.21126,24112.27,sell,1678752000000,False,macro_shield:exit,5099.0521183601995
,0.19701,24285.66,buy,1678924800000,True,macro_shield:enter,4789.302394476599
,0.02979,27124.9,buy,1679961600000,True,macro_shield:enter,808.858821771
,0.02183,30411.57,buy,1689033600000,True,macro_shield:enter,664.5484576730998
,0.24863,29770.41,sell,1691539200000,False,macro_shield:exit,7409.218855338298
,0.27845,27931.1,buy,1696636800000,True,macro_shield:enter,7785.192209794998
,0.02991,26875.52,buy,1697068800000,True,macro_shield:enter,804.6506500031999
,0.30836,28500.77,sell,1697500800000,False,macro_shield:exit,8797.2859346372
,0.28348,28320.0,buy,1697673600000,True,macro_shield:enter,8036.1817536
,0.28348,28713.71,sell,1697760000000,False,macro_shield:exit,8147.9022733107995
,0.23464,33922.73,buy,1698192000000,True,macro_shield:enter,7967.5889965671995
,0.0193,34474.74,buy,1698710400000,True,macro_shield:enter,666.027844482
,0.04817,35421.43,sell,1698883200000,False,partial_exit,1707.9565333830997
,0.01964,34716.78,buy,1699056000000,True,macro_shield:enter,682.5193967591999
,0.22541,36701.1,sell,1699574400000,False,macro_shield:exit,8281.067745950999
,0.2156,37301.63,buy,1699660800000,True,macro_shield:enter,8050.2736594279995
,0.02488,37242.7,buy,1701129600000,True,macro_shield:enter,927.5249743759998
,0.24048,42283.58,sell,1704067200000,False,force_exit,10178.5236737184
