trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,3.2319,2352.05,buy,1704153600000,True,mv2:enter,7609.191985394999
,1.2517,3102.0,sell,1713225600000,False,partial_exit,3886.6561733999997
,0.4893,2985.41,buy,1713398400000,True,,1462.2218741129998
,0.6405,3131.3,buy,1714176000000,True,,2007.6032476499997
,0.5296,3014.04,sell,1714521600000,False,partial_exit,1597.8318195839995
,0.5794,3102.61,buy,1714780800000,True,,1799.449886234
,3.1598,3661.79,sell,1716249600000,False,mv2:exit,11582.094566042
,2.9608,3783.6,buy,1716508800000,True,mv2:enter,11213.685362879998
,0.2039,2981.79,buy,1720224000000,True,,608.594967981
,3.1647,3066.83,sell,1720310400000,False,mv2:exit,9715.302497900999
,2.9763,3371.59,buy,1731369600000,True,mv2:enter,10044.898180317
,2.9763,3337.78,sell,1735689600000,False,force_exit,9944.168848614
