trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,0.21197,20872.99,buy,1673827200000,True,calv2:enter,4428.8721379903
,0.03265,22827.38,buy,1675123200000,True,calv2:enter,746.0592709569999
,0.06691,23731.41,sell,1675296000000,False,partial_exit,1589.4565117430998
,0.03634,23492.09,buy,1677542400000,True,,854.5562531505999
,0.21405,24112.27,sell,1678752000000,False,calv2:exit,5166.3926248934995
,0.19617,24285.66,buy,1678924800000,True,calv2:enter,4768.882040122199
,0.02603,27736.39,buy,1685404800000,True,,722.7002099317
,0.06017,30585.9,sell,1688256000000,False,partial_exit,1842.1939566029998
,0.02663,31156.2,buy,1688428800000,True,calv2:enter,830.5192956059999
,0.02892,29351.95,buy,1690416000000,True,,849.707252394
,0.21758,29770.41,sell,1691539200000,False,calv2:exit,6483.923253607799
,0.27875,27931.1,buy,1696636800000,True,calv2:enter,7793.579919124999
,0.27875,28500.77,sell,1697500800000,False,calv2:exit,7952.534227137499
,0.29256,28320.0,buy,1697673600000,True,calv2:enter,8293.584499199998
,0.29256,33069.99,sell,1698105600000,False,calv2:exit,9684.631230674398
,0.26256,33922.73,buy,1698192000000,True,calv2:enter,8915.6587407888
,0.26256,36701.1,sell,1699574400000,False,calv2:exit,9645.877056815998
,0.24361,37301.63,buy,1699660800000,True,calv2:enter,9096.137134384298
,0.02389,37242.7,buy,1701129600000,True,calv2:enter,890.617831103
,0.04851,38682.51,sell,1701475200000,False,partial_exit,1878.3650486600998
,0.02004,43428.86,buy,1703721600000,True,calv2:enter,871.1846687543998
,0.23903,42283.58,sell,1704067200000,False,force_exit,10117.1511715274
