trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,22.7093,195.83,buy,1557792000000,True,calv2:enter,4451.609381218999
,6.7839,264.35,sell,1558051200000,False,partial_exit,1795.1172889650002
,2.7101,244.31,buy,1558137600000,True,calv2:enter,662.766635531
,2.8989,270.7,buy,1559001600000,True,calv2:enter,785.5169622299999
,6.1765,318.29,sell,1561507200000,False,partial_exit,1967.8841031849997
,4.6274,339.53,buy,1561593600000,True,calv2:enter,1572.7122631219995
,2.5067,210.8,buy,1563408000000,True,,528.94077236
,22.492,216.31,sell,1564012800000,False,calv2:exit,4870.10976452
,24.7208,215.04,buy,1569110400000,True,calv2:enter,5321.276792831999
,2.9742,201.25,buy,1569283200000,True,calv2:enter,599.15630775
,2.8154,165.92,buy,1569542400000,True,calv2:enter,467.59829916799987
,3.3901,175.65,buy,1569974400000,True,,596.0665360649999
,33.9005,172.78,sell,1571443200000,False,calv2:exit,5863.18571839
