pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
BTC/USDT,9999.9708902,9999.9708902,0.10771,2026-01-19 08:00:00+00:00,2026-01-20 12:00:00+00:00,92841.62,90056.38,0.001,0.001,1680,-0.03193796949226895,-319.69814398,stop_loss,90056.38,-0.03,90056.38,-0.03,89859.06,93420.0,False,bounce4h:enter,1.0,False,1768809600000,1768910400000,0.0,1
BTC/USDT,9680.1553992,9680.1553992,0.10824,2026-01-21 04:00:00+00:00,2026-01-23 16:00:00+00:00,89432.33,89761.61,0.001,0.001,3600,0.0016765315611872585,16.24531513,bounce4h:exit,86749.37,-0.03,86749.37,-0.03,87263.53,91224.99,False,bounce4h:enter,1.0,False,1768968000000,1769184000000,0.0,4
BTC/USDT,9695.8131732,9695.8131732,0.11187,2026-01-26 00:00:00+00:00,2026-01-27 04:00:00+00:00,86670.36,88787.99,0.001,0.001,1680,0.022386331597348895,217.27074249,bounce4h:exit,84070.25,-0.03,84070.25,-0.03,86509.63,89010.0,False,bounce4h:enter,1.0,False,1769385600000,1769486400000,0.0,1
BTC/USDT,9913.3802376,9913.3802376,0.11711,2026-01-30 00:00:00+00:00,2026-01-30 00:00:00+00:00,84650.16,82110.66,0.001,0.001,0,-0.031938005347367994,-316.93020463,stop_loss,82110.66,-0.03,82110.66,-0.03,81118.0,84735.75,False,bounce4h:enter,1.0,False,1769731200000,1769731200000,0.0,4
BTC/USDT,9596.8316424,9596.8316424,0.11588,2026-01-30 08:00:00+00:00,2026-01-31 16:00:00+00:00,82816.98,80332.48,0.001,0.001,1920,-0.03193794866104843,-306.80961942,stop_loss,80332.48,-0.03,80332.48,-0.03,75719.9,84621.16,False,bounce4h:enter,1.0,False,1769760000000,1769875200000,0.0,5
BTC/USDT,9289.874978,9289.874978,0.11798,2026-02-01 00:00:00+00:00,2026-02-01 20:00:00+00:00,78741.1,76378.87,0.001,0.001,1200,-0.03193802391457643,-296.99694946,stop_loss,76378.87,-0.03,76378.87,-0.03,75700.0,79424.0,False,bounce4h:enter,1.0,False,1769904000000,1769976000000,0.0,6
BTC/USDT,8993.0761018,8993.0761018,0.11731,2026-02-02 08:00:00+00:00,2026-02-03 16:00:00+00:00,76660.78,74360.96,0.001,0.001,1920,-0.03193801767551095,-287.50824452,stop_loss,74360.96,-0.03,74360.96,-0.03,72945.5,79360.0,False,bounce4h:enter,1.0,False,1770019200000,1770134400000,0.0,1
BTC/USDT,8705.2394269,8705.2394269,0.11489,2026-02-04 00:00:00+00:00,2026-02-04 16:00:00+00:00,75770.21,73497.11,0.001,0.001,960,-0.031937978957503686,-278.30578139,stop_loss,73497.11,-0.03,73497.11,-0.03,72169.0,76971.52,False,bounce4h:enter,1.0,False,1770163200000,1770220800000,0.0,2
BTC/USDT,8427.2643434,8427.2643434,0.13034,2026-02-24 00:00:00+00:00,2026-02-24 04:00:00+00:00,64656.01,62716.33,0.001,0.001,240,-0.03193805730791425,-269.419602,stop_loss,62716.33,-0.03,62716.33,-0.03,62700.8,65026.75,False,bounce4h:enter,1.0,False,1771891200000,1771905600000,0.0,1
BTC/USDT,8157.5617322,8157.5617322,0.12902,2026-02-24 12:00:00+00:00,2026-02-25 12:00:00+00:00,63227.11,66521.38,0.001,0.001,1440,0.05000007354200755,408.28656522,roi,61330.3,-0.03,61330.3,-0.03,62510.28,67578.0,False,bounce4h:enter,1.0,False,1771934400000,1772020800000,0.0,2
BTC/USDT,8565.976314,8565.976314,0.13417,2026-02-28 12:00:00+00:00,2026-02-28 20:00:00+00:00,63844.2,67170.62,0.001,0.001,480,0.0500000464729529,428.727513,roi,61928.88,-0.03,61928.88,-0.03,63827.2,67760.0,False,bounce4h:enter,1.0,False,1772280000000,1772308800000,0.0,5
BTC/USDT,8994.696898,8994.696898,0.13213,2026-03-23 04:00:00+00:00,2026-03-23 12:00:00+00:00,68074.6,70122.15,0.001,0.001,480,0.028019934074925187,252.28284492,bounce4h:exit,66032.37,-0.03,66032.37,-0.03,67502.48,71817.09,False,bounce4h:enter,1.0,False,1774238400000,1774267200000,0.0,0
BTC/USDT,9246.5496672,9246.5496672,0.13924,2026-03-28 00:00:00+00:00,2026-03-30 04:00:00+00:00,66407.28,67173.8,0.001,0.001,3120,0.009521646021051813,88.13041522,bounce4h:exit,64415.07,-0.03,64415.07,-0.03,65000.0,67800.0,False,bounce4h:enter,1.0,False,1774656000000,1774843200000,0.0,0
BTC/USDT,9335.1653328,9335.1653328,0.12112,2026-05-18 08:00:00+00:00,2026-05-20 08:00:00+00:00,77073.69,77282.65,0.001,0.001,2880,0.0007077526831232462,6.6135953,bounce4h:exit,74761.48,-0.03,74761.48,-0.03,76051.0,77800.0,False,bounce4h:enter,1.0,False,1779091200000,1779264000000,0.0,2
BTC/USDT,9341.7060222,9341.7060222,0.12351,2026-05-23 04:00:00+00:00,2026-05-24 00:00:00+00:00,75635.22,76752.0,0.001,0.001,1200,0.0127378402636648,119.11215226,bounce4h:exit,73366.17,-0.03,73366.17,-0.03,74289.6,77404.18,False,bounce4h:enter,1.0,False,1779508800000,1779580800000,0.0,6
BTC/USDT,9460.66256,9460.66256,0.12872,2026-05-28 08:00:00+00:00,2026-05-30 16:00:00+00:00,73498.0,73930.13,0.001,0.001,3360,0.0038697305038965994,36.64682471,bounce4h:exit,71293.06,-0.03,71293.06,-0.03,72512.49,74514.1,False,bounce4h:enter,1.0,False,1779955200000,1780156800000,0.0,5
