trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,0.15844,44179.55,buy,1704153600000,True,analog:enter,7006.807709901999
,0.02755,51642.64,sell,1708214400000,False,partial_exit,1424.177486732
,0.0154,54476.48,buy,1708992000000,True,analog:enter,839.776729792
,0.14629,62432.11,sell,1709164800000,False,analog:exit,9142.3265652719
,0.14191,61130.99,buy,1709251200000,True,analog:enter,8683.7738896909
,0.01087,63118.62,buy,1714348800000,True,,686.7854987994
,0.15278,60293.3,sell,1719273600000,False,analog:exit,9220.821984373999
,0.13137,67908.0,buy,1722038400000,True,analog:enter,8929.995033959998
,0.13137,54018.82,sell,1722902400000,False,analog:exit,7103.548835783398
,0.1236,60923.51,buy,1723334400000,True,analog:enter,7537.675981836
,0.01126,59034.9,buy,1724889600000,True,,665.3977069739999
,0.13486,59359.0,sell,1724976000000,False,analog:exit,8013.15989474
,0.1201,65858.0,buy,1727568000000,True,analog:enter,7917.455345799999
,0.00838,60649.27,buy,1727913600000,True,analog:enter,508.7491234825999
,0.12848,75571.99,sell,1730937600000,False,analog:exit,9719.1987644752
,0.12587,75857.89,buy,1731024000000,True,analog:enter,9557.7808469143
,0.12587,96945.63,sell,1733443200000,False,analog:exit,12214.748994548101
,0.11878,99740.84,buy,1733529600000,True,analog:enter,11859.064192175198
,0.11878,93576.0,sell,1735689600000,False,force_exit,11126.07223728
