trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,3.3535,2352.05,buy,1704153600000,True,analogv2:enter,7895.487274675
,3.3535,3383.11,sell,1709164800000,False,analogv2:exit,11356.604644384997
,3.1546,3340.1,buy,1709251200000,True,analogv2:enter,10547.216139459999
,0.94,3102.0,sell,1713225600000,False,partial_exit,2918.795879999999
,0.5652,3056.45,buy,1713571200000,True,,1729.23304554
,0.4536,3131.3,buy,1714176000000,True,,1421.77803768
,3.2334,3352.74,sell,1719273600000,False,analogv2:exit,10851.590265515999
,3.3592,3371.59,buy,1731369600000,True,analogv2:enter,11337.170973127999
,3.3592,3785.21,sell,1733443200000,False,analogv2:exit,12727.992709432
,3.0959,3998.87,buy,1733529600000,True,analogv2:enter,12392.481734632996
,3.0959,3337.78,sell,1735689600000,False,force_exit,10343.766535102
