trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,11.5556,728.91,buy,1609545600000,True,analogv2:enter,8431.415388395999
,11.5556,1087.0,sell,1610409600000,False,analogv2:exit,12573.498137199998
,11.3352,1050.36,buy,1610496000000,True,analogv2:enter,11917.946712671997
,11.3352,1111.98,sell,1611273600000,False,analogv2:exit,12617.120211696
,10.1374,1232.61,buy,1611360000000,True,analogv2:enter,12507.956074613996
,10.1374,1329.44,sell,1611878400000,False,analogv2:exit,13490.542121055998
,9.6123,1378.04,buy,1612051200000,True,analogv2:enter,13259.380025891996
,9.6123,1749.68,sell,1612828800000,False,analogv2:exit,16835.267513064
,9.1964,1769.14,buy,1612915200000,True,analogv2:enter,16285.988815096001
,9.1964,1577.79,sell,1614124800000,False,analogv2:exit,14524.497943956
,9.1181,1623.16,buy,1614211200000,True,analogv2:enter,14814.935331196
,9.1181,2235.65,sell,1618790400000,False,analogv2:exit,20405.265145265
,9.0335,2161.12,buy,1618876800000,True,analogv2:enter,19541.999997519997
,1.8103,3810.15,sell,1620864000000,False,partial_exit,6904.4120595449995
,1.1587,3717.92,buy,1620950400000,True,analogv2:enter,4312.261857903999
,8.3819,2438.92,sell,1621468800000,False,analogv2:exit,20463.226331547998
,9.5239,2295.45,buy,1621728000000,True,analogv2:enter,21883.497891254996
,9.5239,2647.92,sell,1621900800000,False,analogv2:exit,25243.743813287998
,8.6619,2884.82,buy,1622073600000,True,analogv2:enter,25013.010380357995
,8.6619,2610.2,sell,1623283200000,False,analogv2:exit,22631.900671379994
,9.0084,2531.1,buy,1627776000000,True,analogv2:enter,22823.962401239995
,9.0084,3434.84,sell,1631059200000,False,analogv2:exit,30973.355068655997
,8.4506,3499.01,buy,1631145600000,True,analogv2:enter,29598.302639905996
,1.0565,2977.32,sell,1632182400000,False,partial_exit,3148.68411858
,1.0974,3152.41,buy,1632441600000,True,,3462.9141887339993
,1.2535,2805.15,sell,1632873600000,False,partial_exit,3519.771780525
,0.8599,3587.47,buy,1633651200000,True,,3087.9503184529995
,1.017,3491.43,sell,1634083200000,False,partial_exit,3554.335094309999
,0.817,3790.82,buy,1634256000000,True,,3100.1970399399997
,2.337,4589.68,sell,1635897600000,False,partial_exit,10736.808242160001
,0.8695,4603.35,buy,1635984000000,True,analogv2:enter,4006.6154378250003
,1.5743,4209.59,sell,1637107200000,False,partial_exit,6633.784694536999
,0.764,4288.07,buy,1637193600000,True,,3279.361565479999
,0.7072,4041.2,buy,1637971200000,True,,2860.7945766399994
,4.3581,4630.25,sell,1638316800000,False,partial_exit,20199.271617525
,3.5016,4511.35,buy,1638489600000,True,,15812.740103159998
,3.886,4215.01,sell,1638576000000,False,partial_exit,16395.90838886
,1.5848,4215.01,sell,1638576000000,False,analogv2:exit,6686.627795848
