trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,1.10077,5004.96,buy,1554508800000,True,mv2:enter,5514.819129019199
,0.12161,5024.95,buy,1555372800000,True,mv2:enter,611.6952536694998
,1.05764,7795.62,sell,1557792000000,False,partial_exit,8253.204496336799
,0.34115,7945.26,buy,1557878400000,True,mv2:enter,2713.235974449
,0.16561,8169.08,buy,1557964800000,True,mv2:enter,1354.2342201387999
,0.31443,7868.67,buy,1558051200000,True,mv2:enter,2476.6200540080995
,0.4563,7937.16,sell,1558396800000,False,partial_exit,3625.3478341079995
,0.34792,7904.48,buy,1558483200000,True,mv2:enter,2752.8768082815996
,0.37894,7849.95,sell,1558656000000,False,partial_exit,2977.634713053
,0.12418,8752.52,buy,1559001600000,True,mv2:enter,1087.9748215335999
,0.36187,7787.57,buy,1559865600000,True,mv2:enter,2820.9060438558995
,0.0892,7895.28,buy,1560038400000,True,mv2:enter,704.9632349759999
,0.74138,10523.75,sell,1564790400000,False,partial_exit,7809.8998727749995
,0.17866,10816.86,buy,1564876800000,True,,1934.4727478076
,0.38782,11994.17,buy,1565308800000,True,,4656.2305884094
,0.44892,11879.98,sell,1565395200000,False,partial_exit,5338.4937822216
,0.08091,11309.24,buy,1565481600000,True,,915.9456390083998
,0.10315,10893.36,buy,1565740800000,True,,1124.773734084
,0.35412,10914.73,buy,1566259200000,True,,3868.9893117875995
,0.46053,10760.51,sell,1566345600000,False,partial_exit,4960.493207970299
,0.51018,10140.82,buy,1566432000000,True,,5178.817191147599
,0.44936,10388.16,sell,1566604800000,False,partial_exit,4672.691601177599
,0.10939,10373.6,buy,1566864000000,True,,1135.902872104
,0.38317,9499.01,buy,1567123200000,True,,3643.3753973616995
,0.55945,10611.85,sell,1567555200000,False,partial_exit,5942.7362819825
,0.53999,10565.92,buy,1567641600000,True,,5711.196631940799
,0.08498,8430.05,buy,1569456000000,True,,717.1020346489998
,1.14659,8063.49,sell,1569542400000,False,mv2:exit,9254.7625160991
,1.07677,9204.45,buy,1572307200000,True,mv2:enter,9920.986702126498
,1.07677,7154.75,sell,1574812800000,False,mv2:exit,7711.724177657499
