trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,19.8241,195.83,buy,1557792000000,True,analogv2:enter,3886.035656503
,2.6619,248.06,buy,1557964800000,True,analogv2:enter,660.971224914
,6.254,264.35,buy,1558051200000,True,analogv2:enter,1654.8981448999998
,2.5337,233.57,buy,1558224000000,True,analogv2:enter,592.3881053089999
,16.7815,250.48,sell,1558396800000,False,partial_exit,4207.633550119999
,13.5052,253.35,buy,1558483200000,True,analogv2:enter,3424.96396242
,12.4182,244.63,sell,1558656000000,False,partial_exit,3040.902130266
,2.2487,250.17,buy,1558828800000,True,analogv2:enter,563.119836279
,3.1903,270.7,buy,1559001600000,True,analogv2:enter,864.4778242099999
,5.5795,271.08,sell,1559088000000,False,partial_exit,1514.00335086
,2.6049,267.9,buy,1559347200000,True,analogv2:enter,698.5505627099999
,10.9887,248.77,buy,1559865600000,True,analogv2:enter,2736.3925578989997
,2.339,246.61,buy,1560211200000,True,analogv2:enter,577.3976107899999
,3.9166,198.94,sell,1563321600000,False,partial_exit,779.947572404
,27.4547,216.31,sell,1564012800000,False,analogv2:exit,5944.664883156999
,31.8807,215.04,buy,1569110400000,True,analogv2:enter,6862.481353727999
,2.4895,180.89,buy,1569888000000,True,,450.77598065499996
,7.6171,175.65,sell,1569974400000,False,partial_exit,1339.2815586149998
,9.3513,175.55,buy,1570233600000,True,,1643.262335715
,7.1324,179.88,sell,1570492800000,False,partial_exit,1284.2590881119997
,6.9164,180.65,buy,1570838400000,True,,1250.6971076599998
,35.8884,172.78,sell,1571443200000,False,analogv2:exit,6206.998549751999
