trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,0.84238,5004.96,buy,1554508800000,True,macro_shield:enter,4220.2942830048
,0.11903,5024.95,buy,1555372800000,True,macro_shield:enter,598.7179182985
,0.25226,7076.24,sell,1557619200000,False,partial_exit,1786.8373547023998
,0.08309,7895.28,buy,1560038400000,True,macro_shield:enter,656.6748340151998
,0.10764,9509.07,buy,1564444800000,True,,1024.5798510947998
,0.33278,10375.0,sell,1564704000000,False,partial_exit,3456.0450925
,0.07836,11975.04,buy,1565222400000,True,,939.3024985343999
,0.11729,10914.73,buy,1566259200000,True,,1281.4688703816998
,0.08133,9702.2,buy,1569283200000,True,,789.8690059259999
,0.84408,8063.49,sell,1569542400000,False,macro_shield:exit,6813.036869839199
,0.99428,9204.45,buy,1572307200000,True,macro_shield:enter,9160.952346545999
,0.18628,9231.4,sell,1572652800000,False,partial_exit,1721.3448171919997
,0.09479,8186.5,buy,1574121600000,True,,776.7743333349999
,0.90279,7154.75,sell,1574812800000,False,macro_shield:exit,6465.695989252499
