pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
BTC/USDT,9999.763164,9999.763164,0.34092,2021-01-02 00:00:00+00:00,2021-01-04 00:00:00+00:00,29331.7,31300.3,0.001,0.001,2880,0.06498300262384854,650.46445056,trailing_stop_loss,23465.36,-0.2,31300.3,-0.1,28130.0,34778.11,False,swingv2:initial,1.0,False,1609545600000,1609718400000,0.0,0
BTC/USDT,10650.3474675,10650.3474675,0.33293,2021-01-05 00:00:00+00:00,2021-01-07 00:00:00+00:00,31989.75,36328.5,0.001,0.001,2880,0.13336039151362813,1421.75484253,trailing_stop_loss,25591.81,-0.2,36328.5,-0.1,29900.0,40365.0,False,swingv2:initial,1.0,False,1609804800000,1609977600000,0.0,3
BTC/USDT,12071.8594272,12071.8594272,0.30614,2021-01-08 00:00:00+00:00,2021-01-11 00:00:00+00:00,39432.48,31545.99,0.001,0.001,4320,-0.20159824974393337,-2436.09939741,stop_loss,31545.99,-0.2,31545.99,-0.2,30420.0,41950.0,False,swingv2:initial,1.0,False,1610064000000,1610323200000,0.0,0
BTC/USDT,9635.90945,9635.90945,0.283,2021-01-13 00:00:00+00:00,2021-01-15 00:00:00+00:00,34049.15,36090.0,0.001,0.001,2880,0.0578205948721806,557.71117055,trailing_stop_loss,27239.33,-0.2,36090.0,-0.1,32380.0,40100.0,False,swingv2:initial,1.0,False,1610496000000,1610668800000,0.0,4
BTC/USDT,10193.5347021,10193.5347021,0.27747,2021-01-16 00:00:00+00:00,2021-01-22 00:00:00+00:00,36737.43,29389.95,0.001,0.001,8640,-0.2015982386036862,-2057.05363973,stop_loss,29389.95,-0.2,29389.95,-0.2,28850.0,37950.0,False,swingv2:initial,1.0,False,1610755200000,1611273600000,0.0,4
BTC/USDT,8136.673,8136.673,0.24694,2021-01-23 00:00:00+00:00,2021-01-29 00:00:00+00:00,32950.0,34678.71,0.001,0.001,8640,0.05036181693843247,410.18741375,trailing_stop_loss,26360.0,-0.2,34678.71,-0.1,29241.72,38531.9,False,swingv2:initial,1.0,False,1611360000000,1611878400000,0.0,4
BTC/USDT,8546.9420104,8546.9420104,0.22322,2021-02-06 00:00:00+00:00,2021-02-08 00:00:00+00:00,38289.32,42115.01,0.001,0.001,2880,0.09771769584536268,836.02266726,trailing_stop_loss,30631.46,-0.2,42115.01,-0.1,37351.0,46794.45,False,swingv2:initial,1.0,False,1612569600000,1612742400000,0.0,0
BTC/USDT,9382.5616752,9382.5616752,0.20232,2021-02-09 00:00:00+00:00,2021-02-19 00:00:00+00:00,46374.86,50731.21,0.001,0.001,14400,0.09175206008321732,861.73023192,trailing_stop_loss,37099.89,-0.2,50731.21,-0.1,43727.0,56368.0,False,swingv2:initial,1.0,False,1612828800000,1613692800000,0.0,4
BTC/USDT,10244.21544,10244.21544,0.18324,2021-02-20 00:00:00+00:00,2021-02-26 00:00:00+00:00,55906.0,44724.8,0.001,0.001,8640,-0.20159840159820658,-2067.28267579,stop_loss,44724.8,-0.2,44724.8,-0.2,44106.78,58352.8,False,swingv2:initial,1.0,False,1613779200000,1614297600000,0.0,4
BTC/USDT,8177.3489088,8177.3489088,0.16488,2021-03-02 00:00:00+00:00,2021-03-05 00:00:00+00:00,49595.76,48374.09,0.001,0.001,4320,-0.02658133534970825,-217.58221847,swingv2:exit,39676.61,-0.2,39676.61,-0.2,46300.0,52640.0,False,swingv2:initial,1.0,False,1614643200000,1614902400000,0.0,4
BTC/USDT,7959.4068755,7959.4068755,0.13777,2021-03-12 00:00:00+00:00,2021-05-13 00:00:00+00:00,57773.15,46218.53,0.001,0.001,89280,-0.2015982288529985,-1606.20693115,stop_loss,46218.53,-0.2,46218.53,-0.2,46000.0,64854.0,False,swingv2:initial,1.0,False,1615507200000,1620864000000,0.0,3
BTC/USDT,6353.3233708,6353.3233708,0.15053,2021-07-31 00:00:00+00:00,2021-09-07 00:00:00+00:00,42206.36,47502.0,0.001,0.001,54720,0.12322149811299098,783.64888977,trailing_stop_loss,33765.09,-0.2,47502.0,-0.1,37332.7,52920.0,False,swingv2:initial,1.0,False,1627689600000,1630972800000,0.0,1
BTC/USDT,7137.1458396,7137.1458396,0.15228,2021-09-08 00:00:00+00:00,2021-09-21 00:00:00+00:00,46868.57,43016.64,0.001,0.001,18720,-0.08401957500890692,-600.25962018,swingv2:exit,37494.86,-0.2,37494.86,-0.2,39600.0,48843.2,False,swingv2:initial,1.0,False,1631059200000,1632182400000,0.0,1
BTC/USDT,6536.868382,6536.868382,0.1457,2021-09-24 00:00:00+00:00,2021-09-29 00:00:00+00:00,44865.26,41025.01,0.001,0.001,7200,-0.08742216253633454,-572.03863734,swingv2:exit,35892.21,-0.2,35892.21,-0.2,40675.0,45200.0,False,swingv2:initial,1.0,False,1632441600000,1632873600000,0.0,2
BTC/USDT,5964.9450165,5964.9450165,0.09591,2021-10-22 00:00:00+00:00,2021-11-03 00:00:00+00:00,62193.15,63220.57,0.001,0.001,17280,0.014488817092801667,86.51142231,swingv2:exit,49754.53,-0.2,49754.53,-0.2,57820.0,64270.0,False,swingv2:initial,1.0,False,1634860800000,1635897600000,0.0,2
