trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,0.67032,9246.01,buy,1525132800000,True,quantum:enter,6203.983208623199
,0.11616,9071.48,sell,1525219200000,False,partial_exit,1054.7968599168
,0.07482,9863.99,buy,1525564800000,True,quantum:enter,738.7617555317998
,0.16218,9178.0,sell,1525824000000,False,partial_exit,1489.9765280399997
,0.12784,8405.94,sell,1526083200000,False,partial_exit,1075.6899849696
,0.33896,8038.82,sell,1526601600000,False,quantum:exit,2727.5632656271996
,0.73299,8397.24,buy,1532476800000,True,quantum:enter,6161.2480405476
,0.07452,8171.4,buy,1532995200000,True,quantum:enter,609.5416607279999
,0.24743,7600.08,sell,1533168000000,False,partial_exit,1882.3682821943999
,0.15393,7525.71,sell,1533254400000,False,partial_exit,1159.5909728402999
,0.11294,7009.84,sell,1533427200000,False,partial_exit,792.4830209295999
,0.29321,6720.63,sell,1533686400000,False,quantum:exit,1972.5264782223
