pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
BTC/USDT,8499.8829726,8499.8829726,0.17811,2022-01-02 00:00:00+00:00,2022-01-08 00:00:00+00:00,47722.66,41566.48,0.001,0.001,8640,-0.1307393575738593,-1112.38050853,onchain:oc_aggr_exit,477.23,-0.99,477.23,-0.99,40501.0,47990.0,False,onchain:oc_aggr,1.0,False,1641081600000,1641600000000,0.0,5
BTC/USDT,7554.09177,7554.09177,0.179,2022-01-18 00:00:00+00:00,2022-01-22 00:00:00+00:00,42201.63,36445.31,0.001,0.001,5760,-0.1381258923458123,-1044.45908226,onchain:oc_aggr_exit,422.02,-0.99,422.02,-0.99,34008.0,43505.0,False,onchain:oc_aggr,1.0,False,1642464000000,1642809600000,0.0,5
BTC/USDT,6666.510851,6666.510851,0.1573,2022-02-07 00:00:00+00:00,2022-03-13 00:00:00+00:00,42380.87,38807.35,0.001,0.001,48960,-0.08614870725548028,-574.88560301,onchain:oc_aggr_exit,423.81,-0.99,423.81,-0.99,34322.28,45821.0,False,onchain:oc_aggr,1.0,False,1644192000000,1647129600000,0.0,6
BTC/USDT,6177.7911426,6177.7911426,0.15026,2022-03-17 00:00:00+00:00,2022-04-29 00:00:00+00:00,41114.01,39742.06,0.001,0.001,61920,-0.03530073362575634,-218.29864008,onchain:oc_aggr_exit,411.15,-0.99,411.15,-0.99,37702.26,48189.84,False,onchain:oc_aggr,1.0,False,1647475200000,1651190400000,0.0,4
BTC/USDT,5992.324455,5992.324455,0.2665,2022-06-14 00:00:00+00:00,2022-06-16 00:00:00+00:00,22485.27,22583.72,0.001,0.001,2880,0.0023716718678023136,14.22603916,onchain:oc_aggr_exit,224.86,-0.99,224.86,-0.99,20111.62,23362.88,False,onchain:oc_aggr,1.0,False,1655164800000,1655337600000,0.0,3
BTC/USDT,6004.5179376,6004.5179376,0.25662,2022-07-20 00:00:00+00:00,2022-08-01 00:00:00+00:00,23398.48,23296.36,0.001,0.001,17280,-0.006353668008480017,-38.18886424,onchain:oc_aggr_exit,233.99,-0.99,233.99,-0.99,20706.5,24668.0,False,onchain:oc_aggr,1.0,False,1658275200000,1659312000000,0.0,0
BTC/USDT,5971.9695496,5971.9695496,0.28664,2022-08-20 00:00:00+00:00,2022-08-29 00:00:00+00:00,20834.39,19555.61,0.001,0.001,12960,-0.06325369486949932,-378.1268888,onchain:oc_aggr_exit,208.35,-0.99,208.35,-0.99,19520.0,21900.0,False,onchain:oc_aggr,1.0,False,1660953600000,1661731200000,0.0,0
BTC/USDT,5650.551658,5650.551658,0.29618,2022-09-28 00:00:00+00:00,2022-10-13 00:00:00+00:00,19078.1,19155.1,0.001,0.001,21600,0.002029975307529582,11.48195082,onchain:oc_aggr_exit,190.79,-0.99,190.79,-0.99,18190.0,20475.0,False,onchain:oc_aggr,1.0,False,1664323200000,1665619200000,0.0,3
BTC/USDT,5660.45454,5660.45454,0.29685,2022-10-16 00:00:00+00:00,2022-11-14 00:00:00+00:00,19068.4,16331.78,0.001,0.001,41760,-0.14522723086681802,-822.87419043,onchain:oc_aggr_exit,190.69,-0.99,190.69,-0.99,15588.0,21480.65,False,onchain:oc_aggr,1.0,False,1665878400000,1668384000000,0.0,0
BTC/USDT,4960.8786015,4960.8786015,0.29361,2022-12-21 00:00:00+00:00,2023-01-01 00:00:00+00:00,16896.15,16541.77,0.001,0.001,15840,-0.022930104757971876,-113.86721949,force_exit,168.97,-0.99,168.97,-0.99,16333.0,16972.83,False,onchain:oc_aggr,1.0,False,1671580800000,1672531200000,0.0,6
