pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
BTC/USDT,9499.950996,9499.950996,0.32388,2021-01-02 00:00:00+00:00,2021-01-05 00:00:00+00:00,29331.7,31989.75,0.001,0.001,4320,0.08844132510465053,841.02844277,rotation:rotated_out,293.32,-0.99,293.32,-0.99,28130.0,34778.11,False,rotation:btc,1.0,False,1609545600000,1609804800000,0.0,1
ETH/USDT,10298.89905,10298.89905,9.889,2021-01-05 00:00:00+00:00,2021-01-09 00:00:00+00:00,1041.45,1216.72,0.001,0.001,5760,0.16595995103844735,1710.91398687,rotation:rotated_out,10.42,-0.99,10.42,-0.99,974.45,1304.37,False,rotation:eth,1.0,False,1609804800000,1610150400000,0.0,5
BTC/USDT,11924.0429784,11924.0429784,0.29379,2021-01-09 00:00:00+00:00,2021-01-10 00:00:00+00:00,40586.96,40088.22,0.001,0.001,1440,-0.014261633382960015,-170.22638573,rotation:rotated_out,405.87,-0.99,405.87,-0.99,35111.11,41380.0,False,rotation:btc,1.0,False,1610150400000,1610236800000,0.0,6
ETH/USDT,11762.5508,11762.5508,9.2183,2021-01-10 00:00:00+00:00,2021-01-13 00:00:00+00:00,1276.0,1050.36,0.001,0.001,4320,-0.1784785434003434,-2101.46229639,rotation:rotated_out,12.77,-0.99,12.77,-0.99,915.0,1348.33,False,rotation:eth,1.0,False,1610236800000,1610496000000,0.0,2
BTC/USDT,9765.977203,9765.977203,0.28682,2021-01-13 00:00:00+00:00,2021-01-15 00:00:00+00:00,34049.15,39145.21,0.001,0.001,2880,0.1473707212130427,1440.65832286,rotation:rotated_out,340.5,-0.99,340.5,-0.99,32380.0,40100.0,False,rotation:btc,1.0,False,1610496000000,1610668800000,0.0,4
ETH/USDT,11134.807332,11134.807332,9.0388,2021-01-15 00:00:00+00:00,2021-01-27 00:00:00+00:00,1231.89,1366.54,0.001,0.001,17280,0.1070871996282886,1193.58773092,rotation:rotated_out,12.32,-0.99,12.32,-0.99,1042.31,1475.0,False,rotation:eth,1.0,False,1610668800000,1611705600000,0.0,2
ETH/USDT,12268.73704,12268.73704,9.2285,2021-01-29 00:00:00+00:00,2021-01-30 00:00:00+00:00,1329.44,1379.56,0.001,0.001,1440,0.035626757404347974,437.5324135,rotation:rotated_out,13.3,-0.99,13.3,-0.99,1285.35,1436.9,False,rotation:eth,1.0,False,1611878400000,1611964800000,0.0,5
BNB/USDT,12684.3634528,12684.3634528,92.768,2021-02-13 00:00:00+00:00,2021-02-24 00:00:00+00:00,136.7321,231.3646,0.001,0.001,15840,0.6887207398034967,8744.72016533,rotation:rotated_out,1.3674,-0.99,1.3674,-0.99,118.0,348.6969,False,rotation:bnb,1.0,False,1613174400000,1614124800000,0.0,2
BNB/USDT,20991.814389,20991.814389,89.418,2021-02-26 00:00:00+00:00,2021-03-01 00:00:00+00:00,234.7605,210.1177,0.001,0.001,4320,-0.10675823055600239,-2243.29000929,rotation:rotated_out,2.3477,-0.99,2.3477,-0.99,195.0,260.0,False,rotation:bnb,1.0,False,1614297600000,1614556800000,0.0,0
BNB/USDT,18860.5875308,18860.5875308,73.978,2021-03-02 00:00:00+00:00,2021-03-22 00:00:00+00:00,254.9486,264.7152,0.001,0.001,28800,0.036233572184549694,684.0698462,rotation:rotated_out,2.5495,-0.99,2.5495,-0.99,215.6439,315.2855,False,rotation:bnb,1.0,False,1614643200000,1616371200000,0.0,0
SOL/USDT,19510.6540212,19510.6540212,1318.626,2021-03-23 00:00:00+00:00,2021-03-25 00:00:00+00:00,14.7962,13.5844,0.001,0.001,2880,-0.08373377342459494,-1635.33438386,rotation:rotated_out,0.148,-0.99,0.148,-0.99,12.47,15.3719,False,rotation:sol,1.0,False,1616457600000,1616630400000,0.0,3
SOL/USDT,17957.085916,17957.085916,1091.51,2021-03-28 00:00:00+00:00,2021-04-02 00:00:00+00:00,16.4516,19.0443,0.001,0.001,7200,0.15528273545117405,2791.21384719,rotation:rotated_out,0.1646,-0.99,0.1646,-0.99,16.3049,20.87,False,rotation:sol,1.0,False,1616889600000,1617321600000,0.0,4
BNB/USDT,20608.6808774,20608.6808774,61.579,2021-04-02 00:00:00+00:00,2021-04-04 00:00:00+00:00,334.6706,321.9597,0.001,0.001,2880,-0.03990244773163851,-823.15914834,rotation:rotated_out,3.3468,-0.99,3.3468,-0.99,315.91,356.9882,False,rotation:bnb,1.0,False,1617321600000,1617494400000,0.0,6
