trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,225.083,37.7637,buy,1609545600000,True,shield:bull_rs_aggr,8508.466853987098
,81.52,128.9463,sell,1613001600000,False,partial_exit,10522.214078375999
,60.636,124.1129,buy,1613088000000,True,shield:bull_rs_aggr,7533.2355142044
,142.312,418.7047,sell,1617926400000,False,partial_exit,59646.2899696664
,110.525,453.9898,buy,1618012800000,True,shield:bull_rs_aggr,50227.399867645
,172.412,290.89,sell,1624838400000,False,shield:bear_rs_aggr,50203.07960667999
,132.83,408.66,buy,1628985600000,True,shield:bull_rs_aggr,54336.5901078
,132.83,335.5,sell,1632787200000,False,shield:bear_rs_aggr,44609.029465
,70.285,653.6,buy,1636416000000,True,shield:bull_rs_aggr,45984.21427599999
,70.285,511.5,sell,1640995200000,False,force_exit,35986.72827749999
