trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,182.59,16.43,buy,1628640000000,True,meta:ma_bal,3002.9536537
,178.85,16.674,buy,1628726400000,True,meta:ma_bal,2985.1270448999994
,134.57,18.09,buy,1628985600000,True,meta:ma_bal,2436.8056712999996
,496.01,46.211,sell,1629936000000,False,meta:cash_circuit,22944.039228109996
,128.76,57.02,buy,1631404800000,True,meta:ma_bal,7349.237095199999
,122.09,59.21,buy,1631491200000,True,meta:ma_bal,7236.1778489
,250.85,53.14,sell,1631577600000,False,meta:cash_circuit,13343.499168999999
,88.16,78.96,buy,1636070400000,True,meta:ma_bal,6968.074713599998
,42.17,125.86,buy,1637452800000,True,meta:ma_bal,5312.8237162
,49.38,134.84,buy,1637625600000,True,meta:ma_bal,6665.0575992
,179.71,123.83,sell,1637712000000,False,meta:cash_circuit,22275.7427893
