variant,2021,2022,2023,2024,2025,2026Q12
Ad_AGGR,0.0,52.8,0.0,0.0,0.0,16.2
Ad_AGGR_LO,0.0,15.0,0.0,0.0,0.0,15.5
Ad_BAL,0.0,45.5,0.0,0.0,0.0,14.5
Ad_DEF,0.0,39.7,0.0,0.0,0.0,11.9
DCA_V1,18.7,66.7,0.0,0.0,29.1,7.1
DCA_V5,17.8,70.5,0.0,0.0,37.0,15.0
Dyn_P10,0.0,58.9,0.0,0.0,29.8,20.0
Dyn_P20,0.0,58.7,0.0,0.0,27.9,20.3
Dyn_P30,0.0,58.1,0.0,0.0,28.4,19.7
Dyn_REG,0.0,42.4,0.0,0.0,23.5,13.2
Dyn_RSI,0.0,60.7,0.0,0.0,30.1,20.4
L3_AGGR_BL,40.8,55.9,4.8,22.0,38.1,24.1
L3_AGGR_TG,44.0,56.1,4.8,21.4,38.2,24.7
L3_AGGR_WG,42.5,55.9,6.7,22.0,38.2,24.1
L3_BAL_WG,36.5,47.9,5.7,18.9,32.8,20.6
Rebal_R1,0.0,41.6,0.0,0.0,17.4,13.3
Rebal_R5,0.0,59.2,0.0,0.0,30.2,20.4
Rebal_R6,0.0,40.2,0.0,0.0,16.9,12.2
Sh_AGGR,26.4,30.7,28.6,31.8,28.8,0.0
Sh_DEF,19.2,21.7,21.2,24.1,20.8,0.0
Sh_FAST,24.5,28.3,31.4,26.0,28.2,0.0
Sh_MED,23.7,27.1,25.5,28.3,25.7,0.0
Sh_SLOW,0.0,34.1,23.4,33.5,37.7,0.0
