variant,2021,2022,2023,2024,2025,2026Q12
Ad_AGGR,111.4,-52.8,45.8,49.3,8.6,-16.2
Ad_AGGR_LO,13.5,-15.0,53.8,17.3,17.8,-15.5
Ad_BAL,96.7,-45.5,34.7,43.2,8.3,-14.5
Ad_DEF,78.8,-39.7,23.9,37.3,8.2,-11.9
DCA_V1,-18.7,-66.7,116.7,15.0,-29.1,-7.1
DCA_V5,-17.8,-70.5,123.2,15.0,-37.0,-15.0
Dyn_P10,77.6,-58.9,119.6,31.3,-29.8,-20.0
Dyn_P20,87.8,-58.7,114.5,30.6,-27.9,-20.3
Dyn_P30,87.5,-58.1,113.3,35.1,-28.4,-19.7
Dyn_REG,57.5,-42.4,77.0,26.8,-23.5,-13.2
Dyn_RSI,65.7,-60.7,119.4,34.9,-30.1,-20.4
L3_AGGR_BL,52.8,-45.8,135.6,22.7,-23.9,-17.6
L3_AGGR_TG,45.9,-48.2,109.9,35.0,-27.1,-19.9
L3_AGGR_WG,48.3,-46.0,83.8,9.4,-19.0,-18.7
L3_BAL_WG,43.8,-38.0,69.0,8.6,-15.1,-15.9
Rebal_R1,66.1,-41.6,73.9,25.2,-17.4,-13.3
Rebal_R5,77.9,-59.2,118.4,30.0,-30.2,-20.4
Rebal_R6,63.8,-40.2,74.0,23.4,-16.9,-12.2
Sh_AGGR,-10.2,-30.7,46.7,-6.7,-25.0,0.0
Sh_DEF,19.3,-21.7,35.0,-1.1,-17.8,0.0
Sh_FAST,9.5,-28.3,28.7,-3.5,-28.2,0.0
Sh_MED,8.1,-27.1,41.6,-1.0,-22.1,0.0
Sh_SLOW,34.1,-34.1,38.7,-4.0,-37.7,0.0
