family,variant,compound_$10k,annual_%,avg_yr_%,best_yr_%,worst_yr_%,worst_yr_DD_%,positive_yrs
Adaptive,Ad_AGGR,19767.0,12.0,24.3,111.4,-52.8,52.8,4
Adaptive,Ad_BAL,19147.0,11.4,20.5,96.7,-45.5,45.5,4
Adaptive,Ad_DEF,17484.0,9.8,16.1,78.8,-39.7,39.7,4
Adaptive,Ad_AGGR_LO,17325.0,9.6,12.0,53.8,-15.5,15.5,4
Rebalance,Rebal_R6,15345.0,7.4,15.3,74.0,-40.2,40.2,3
Rebalance,Rebal_R1,15125.0,7.1,15.5,73.9,-41.6,41.6,3
3Layer,L3_AGGR_BL,15013.0,7.0,20.6,135.6,-45.8,55.9,3
DynRebal,Dyn_REG,13520.0,5.2,13.7,77.0,-42.4,42.4,3
DynRebal,Dyn_P30,13016.0,4.5,21.6,113.3,-58.1,58.1,3
3Layer,L3_AGGR_TG,12505.0,3.8,15.9,109.9,-48.2,56.1,3
DynRebal,Dyn_P20,12486.0,3.8,21.0,114.5,-58.7,58.7,3
DynRebal,Dyn_P10,11820.0,2.8,20.0,119.6,-58.9,58.9,3
3Layer,L3_BAL_WG,11683.0,2.6,8.7,69.0,-38.0,47.9,3
Rebalance,Rebal_R5,11450.0,2.3,19.4,118.4,-59.2,59.2,3
DynRebal,Dyn_RSI,10724.0,1.2,18.1,119.4,-60.7,60.7,3
3Layer,L3_AGGR_WG,10604.0,1.0,9.6,83.8,-46.0,55.9,3
Shield,Sh_DEF,10252.0,0.4,2.3,35.0,-21.7,24.1,2
Shield,Sh_MED,8606.0,-2.5,-0.1,41.6,-27.1,28.3,2
Shield,Sh_SLOW,7331.0,-5.0,-0.5,38.7,-37.7,37.7,2
Shield,Sh_FAST,7001.0,-5.8,-3.6,28.7,-28.3,31.4,2
Shield,Sh_AGGR,6388.0,-7.2,-4.3,46.7,-30.7,31.8,1
DCA,DCA_V1,4444.0,-12.6,1.7,116.7,-66.7,66.7,2
DCA,DCA_V5,3333.0,-16.7,-0.3,123.2,-70.5,70.5,2
