MV_W_MACRO,MV_W_VIX,MV_W_SPY,MV_W_QQQ,MV_W_DXY,MV_W_RATES,MV_EXIT_THR,MV_MODE,roi_pct,n_trades,max_dd_pct,sharpe,status
0.0,0.0,0.0,0.0,0.0,0.0,-0.7,tilt,1026.836,28,18.297,0.072,OK
0.0,0.0,0.0,0.0,0.0,0.0,-0.5,tilt,768.437,30,18.297,0.069,OK
0.0,0.0,0.0,0.0,0.0,0.0,-0.3,tilt,866.6,32,24.465,0.067,OK
0.0,0.0,0.0,0.05,0.0,0.0,-0.7,tilt,1049.906,28,18.628,0.07,OK
0.0,0.0,0.0,0.05,0.0,0.0,-0.5,tilt,793.427,30,18.628,0.068,OK
0.0,0.0,0.0,0.05,0.0,0.0,-0.3,tilt,883.792,32,24.974,0.066,OK
0.0,0.0,0.05,0.0,0.0,0.0,-0.7,tilt,1055.902,28,18.5,0.071,OK
0.0,0.0,0.05,0.0,0.0,0.0,-0.5,tilt,795.062,30,18.5,0.068,OK
0.0,0.0,0.05,0.0,0.0,0.0,-0.3,tilt,892.757,32,24.856,0.066,OK
0.0,0.0,0.05,0.05,0.0,0.0,-0.7,tilt,1114.829,28,17.423,0.071,OK
0.0,0.0,0.05,0.05,0.0,0.0,-0.5,tilt,831.748,30,17.423,0.068,OK
0.0,0.0,0.05,0.05,0.0,0.0,-0.3,tilt,908.664,32,24.251,0.066,OK
0.0,0.0,0.1,0.0,0.0,0.0,-0.7,tilt,1115.836,28,17.818,0.071,OK
0.0,0.0,0.1,0.0,0.0,0.0,-0.5,tilt,830.867,30,17.818,0.068,OK
0.0,0.0,0.1,0.0,0.0,0.0,-0.3,tilt,920.811,32,24.455,0.066,OK
0.0,0.0,0.1,0.05,0.0,0.0,-0.7,tilt,1104.376,28,17.893,0.07,OK
0.0,0.0,0.1,0.05,0.0,0.0,-0.5,tilt,819.426,30,17.893,0.067,OK
0.0,0.0,0.1,0.05,0.0,0.0,-0.3,tilt,906.373,32,24.151,0.065,OK
0.0,0.05,0.0,0.0,0.0,0.0,-0.7,tilt,1027.708,28,18.297,0.072,OK
0.0,0.05,0.0,0.0,0.0,0.0,-0.5,tilt,766.876,30,18.297,0.069,OK
0.0,0.05,0.0,0.0,0.0,0.0,-0.3,tilt,867.365,32,24.465,0.067,OK
0.0,0.05,0.0,0.05,0.0,0.0,-0.7,tilt,1071.219,28,18.628,0.071,OK
0.0,0.05,0.0,0.05,0.0,0.0,-0.5,tilt,792.988,30,18.627,0.068,OK
