coin,family,variant,year,roi_%,max_dd_%
AVAX,Rebalance,Rebal_R1,2021,122.0,0.0
AVAX,Rebalance,Rebal_R1,2022,-64.2,64.2
AVAX,Rebalance,Rebal_R1,2023,103.6,0.0
AVAX,Rebalance,Rebal_R1,2024,2.6,0.0
AVAX,Rebalance,Rebal_R1,2025,-36.7,36.7
AVAX,Rebalance,Rebal_R1,2026Q12,-17.2,17.2
AVAX,Rebalance,Rebal_R5,2021,186.5,0.0
AVAX,Rebalance,Rebal_R5,2022,-80.9,80.9
AVAX,Rebalance,Rebal_R5,2023,174.0,0.0
AVAX,Rebalance,Rebal_R5,2024,-4.0,4.0
AVAX,Rebalance,Rebal_R5,2025,-53.4,53.4
AVAX,Rebalance,Rebal_R5,2026Q12,-25.8,25.8
AVAX,Rebalance,Rebal_R6,2021,124.3,0.0
AVAX,Rebalance,Rebal_R6,2022,-64.6,64.6
AVAX,Rebalance,Rebal_R6,2023,107.1,0.0
AVAX,Rebalance,Rebal_R6,2024,0.9,0.0
AVAX,Rebalance,Rebal_R6,2025,-35.8,35.8
AVAX,Rebalance,Rebal_R6,2026Q12,-16.9,16.9
AVAX,DynRebal,Dyn_P10,2021,185.5,0.0
AVAX,DynRebal,Dyn_P10,2022,-80.9,80.9
AVAX,DynRebal,Dyn_P10,2023,176.0,0.0
AVAX,DynRebal,Dyn_P10,2024,-3.0,3.0
AVAX,DynRebal,Dyn_P10,2025,-52.9,52.9
AVAX,DynRebal,Dyn_P10,2026Q12,-25.8,25.8
AVAX,DynRebal,Dyn_P20,2021,182.1,0.0
AVAX,DynRebal,Dyn_P20,2022,-81.0,81.0
AVAX,DynRebal,Dyn_P20,2023,183.1,0.0
AVAX,DynRebal,Dyn_P20,2024,-0.2,0.2
AVAX,DynRebal,Dyn_P20,2025,-52.0,52.0
AVAX,DynRebal,Dyn_P20,2026Q12,-25.6,25.6
AVAX,DynRebal,Dyn_P30,2021,190.3,0.0
AVAX,DynRebal,Dyn_P30,2022,-81.1,81.1
AVAX,DynRebal,Dyn_P30,2023,188.5,0.0
AVAX,DynRebal,Dyn_P30,2024,0.7,0.0
AVAX,DynRebal,Dyn_P30,2025,-54.8,54.8
AVAX,DynRebal,Dyn_P30,2026Q12,-24.9,24.9
AVAX,DynRebal,Dyn_REG,2021,176.1,0.0
AVAX,DynRebal,Dyn_REG,2022,-69.1,69.1
