coin,variant,family,compound_$10k,annual_%,best_yr_%,worst_yr_%,max_yearly_dd_%,positive_yrs
AVAX,Meta_REL,Meta,40741.0,26.4,112.7,-16.2,21.8,3
AVAX,Sh_AGGR,Shield,35129.0,23.3,265.3,-21.6,38.7,2
AVAX,Sh_DEF,Shield,32981.0,22.0,205.0,-15.4,28.9,2
AVAX,Meta_BAL,Meta,32820.0,21.9,164.9,-19.3,19.3,2
AVAX,Sh_MED,Shield,31083.0,20.8,224.2,-19.2,34.6,2
AVAX,Sh_SLOW,Shield,28773.0,19.3,154.0,-22.2,40.2,2
AVAX,Meta_STR,Meta,27175.0,18.1,104.2,-13.9,13.9,2
AVAX,Sh_FAST,Shield,25456.0,16.9,171.6,-36.1,38.3,2
AVAX,Meta_VST,Meta,19681.0,11.9,79.4,-2.9,5.8,2
AVAX,L3_BAL_WG,3Layer,16371.0,8.6,219.6,-54.3,54.3,2
AVAX,L3_AGGR_WG,3Layer,15117.0,7.1,284.6,-63.4,63.4,2
AVAX,Ad_DEF,Adaptive,11228.0,1.9,72.8,-42.9,42.9,3
AVAX,L3_AGGR_BL,3Layer,10782.0,1.3,186.1,-63.4,63.4,2
AVAX,Ad_BAL,Adaptive,9036.0,-1.7,87.0,-54.3,54.3,3
AVAX,Rebal_R6,Rebalance,8852.0,-2.0,124.3,-64.6,64.6,3
AVAX,Rebal_R1,Rebalance,8702.0,-2.3,122.0,-64.2,64.2,3
AVAX,DCA_V1,DCA,8536.0,-2.6,619.2,-86.7,86.7,2
AVAX,Ad_AGGR_LO,Adaptive,7890.0,-3.9,30.9,-39.7,39.7,3
AVAX,L3_AGGR_TG,3Layer,7712.0,-4.2,161.1,-63.4,63.4,2
AVAX,Dyn_REG,DynRebal,7442.0,-4.8,176.1,-69.1,69.1,2
AVAX,Ad_AGGR,Adaptive,6697.0,-6.5,98.5,-64.8,64.8,3
AVAX,DCA_V5,DCA,5425.0,-9.7,442.6,-86.5,86.5,2
AVAX,Dyn_P20,DynRebal,5408.0,-9.7,183.1,-81.0,81.0,2
AVAX,Dyn_P30,DynRebal,5411.0,-9.7,190.3,-81.1,81.1,3
AVAX,Dyn_P10,DynRebal,5102.0,-10.6,185.5,-80.9,80.9,2
AVAX,Rebal_R5,Rebalance,4977.0,-11.0,186.5,-80.9,80.9,2
BNB,Sh_SLOW,Shield,165097.0,59.6,942.4,-27.0,27.0,4
BNB,Dyn_P20,DynRebal,133362.0,54.0,812.8,-40.9,40.9,4
BNB,Rebal_R5,Rebalance,128528.0,53.0,816.5,-40.8,40.8,4
BNB,Dyn_P10,DynRebal,127532.0,52.9,805.6,-40.8,40.8,4
BNB,Dyn_P30,DynRebal,117729.0,50.8,752.9,-41.3,41.3,4
BNB,Dyn_REG,DynRebal,102850.0,47.5,667.1,-36.4,36.4,4
BNB,DCA_V1,DCA,92821.0,45.0,492.7,-40.3,40.3,5
BNB,DCA_V5,DCA,91462.0,44.6,502.1,-40.4,40.4,4
BNB,Sh_MED,Shield,86235.0,43.2,373.7,-18.1,27.8,4
BNB,Meta_REL,Meta,86170.0,43.2,568.4,-24.4,24.4,3
BNB,Sh_FAST,Shield,81578.0,41.9,380.0,-15.3,26.4,3
BNB,Sh_AGGR,Shield,79155.0,41.2,339.8,-20.3,31.1,4
BNB,Rebal_R1,Rebalance,68587.0,37.8,404.1,-27.2,27.2,4
BNB,Rebal_R6,Rebalance,67490.0,37.5,394.8,-27.9,27.9,4
BNB,Ad_AGGR,Adaptive,45632.0,28.8,176.7,-31.6,31.6,4
BNB,Sh_DEF,Shield,44944.0,28.5,216.6,-10.6,22.7,3
BNB,Meta_BAL,Meta,42457.0,27.3,181.8,-13.4,17.3,3
BNB,Ad_BAL,Adaptive,39883.0,25.9,150.6,-26.9,26.9,4
BNB,L3_AGGR_WG,3Layer,32482.0,21.7,161.9,-37.4,37.4,4
BNB,Meta_STR,Meta,31493.0,21.1,148.5,-8.0,11.4,3
BNB,Ad_DEF,Adaptive,30869.0,20.7,109.3,-22.7,22.7,4
BNB,L3_BAL_WG,3Layer,28374.0,19.0,129.9,-32.1,32.1,4
BNB,L3_AGGR_BL,3Layer,23096.0,15.0,113.6,-37.4,37.4,4
BNB,Ad_AGGR_LO,Adaptive,20401.0,12.6,50.8,-16.5,16.5,4
BNB,L3_AGGR_TG,3Layer,15467.0,7.5,51.4,-37.4,37.4,4
BNB,Meta_VST,Meta,13970.0,5.7,40.0,-12.7,12.7,2
DOGE,Dyn_REG,DynRebal,328004.0,78.9,2920.7,-45.2,45.2,3
DOGE,Dyn_P10,DynRebal,258549.0,72.0,2929.4,-49.7,49.7,3
DOGE,Rebal_R5,Rebalance,258556.0,72.0,3066.2,-49.7,49.7,3
DOGE,Dyn_P20,DynRebal,247445.0,70.7,3032.8,-50.6,50.6,3
DOGE,Sh_MED,Shield,233985.0,69.1,2289.3,-28.9,29.9,2
DOGE,Sh_SLOW,Shield,219130.0,67.3,1987.8,-39.1,39.1,2
DOGE,Sh_FAST,Shield,218570.0,67.2,2332.9,-29.2,36.7,2
DOGE,Sh_DEF,Shield,212214.0,66.4,2044.9,-20.8,23.9,2
DOGE,Dyn_P30,DynRebal,203483.0,65.2,2753.7,-51.4,51.4,3
DOGE,Rebal_R6,Rebalance,199396.0,64.7,1656.6,-31.8,31.8,3
DOGE,Rebal_R1,Rebalance,192612.0,63.7,1697.1,-33.4,33.4,3
DOGE,Sh_AGGR,Shield,160942.0,58.9,1679.2,-32.0,75.1,2
DOGE,DCA_V1,DCA,84386.0,42.7,918.7,-49.9,49.9,3
