date,regime,source,variant,year,roi_%,wallet_$,compound_end_$,annual_%,avg_per_year_%,best_yr_%,worst_yr_%,positive_yrs,2021,2022,2023,2024,2025,2026Q12,family,max_dd_%,compound_$10k,avg_yr_%,worst_yr_DD_%,coin,max_yearly_dd_%,strategy,baseline_5y_%,realistic_5y_%,degradation_pp,baseline_annual_%,realistic_annual_%,score,consistency,low_dd,stability,oos,crash_survival,roi_train_%,roi_val_%,roi_test_%,trades,tf,tr,final,wr_%,sharpe,mode,scenario,period_yr,period,profit
2021-01-01 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21 00:00:00+00:00,crash,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-23 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04 00:00:00+00:00,mixed,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05 00:00:00+00:00,sideways,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06 00:00:00+00:00,sideways,_regime_labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
