variant,year,roi_%,max_dd_%
MA_STRICT,2021,-1.5,9.2
MA_STRICT,2022,0.0,0.0
MA_STRICT,2023,2.2,11.7
MA_STRICT,2024,-15.1,15.1
MA_STRICT,2025,-10.0,10.0
MA_STRICT,2026Q12,0.0,0.0
MA_BAL,2021,-31.4,31.4
MA_BAL,2022,0.0,0.0
MA_BAL,2023,13.4,18.1
MA_BAL,2024,8.0,8.0
MA_BAL,2025,-13.6,13.6
MA_BAL,2026Q12,0.0,0.0
MA_RELAX,2021,-38.6,38.6
MA_RELAX,2022,0.0,0.0
MA_RELAX,2023,26.5,22.9
MA_RELAX,2024,34.3,14.0
MA_RELAX,2025,-11.6,14.1
MA_RELAX,2026Q12,0.0,0.0
MA_VSTRICT,2021,-14.4,14.4
MA_VSTRICT,2022,0.0,0.0
MA_VSTRICT,2023,3.4,4.6
MA_VSTRICT,2024,19.9,5.6
MA_VSTRICT,2025,-1.7,1.7
MA_VSTRICT,2026Q12,0.0,0.0
