coin,year,roi_%,max_dd_%
BTC,2021,95.3,7.9
BTC,2022,-12.9,12.9
BTC,2023,75.8,0.0
BTC,2024,33.7,0.0
BTC,2025,8.4,5.1
BTC,2026Q12,0.0,0.0
ETH,2021,148.0,14.4
ETH,2022,-11.1,11.1
ETH,2023,49.1,0.0
ETH,2024,3.9,0.8
ETH,2025,37.8,0.0
ETH,2026Q12,0.0,0.0
SOL,2021,646.4,0.0
SOL,2022,-31.1,31.1
SOL,2023,227.3,16.7
SOL,2024,19.9,6.9
SOL,2025,-29.5,33.0
SOL,2026Q12,0.0,0.0
BNB,2021,229.6,30.7
BNB,2022,-14.1,14.1
BNB,2023,-1.3,13.6
BNB,2024,20.1,3.7
BNB,2025,16.2,21.8
BNB,2026Q12,-15.8,15.8
AVAX,2021,161.5,18.7
AVAX,2022,-20.8,20.8
AVAX,2023,61.9,33.2
AVAX,2024,-34.7,40.0
AVAX,2025,6.7,0.0
AVAX,2026Q12,0.0,0.0
DOGE,2021,320.1,61.9
DOGE,2022,-28.7,28.7
DOGE,2023,-23.1,31.9
DOGE,2024,13.9,24.7
DOGE,2025,-20.5,20.5
DOGE,2026Q12,0.0,0.0
ADA,2021,123.1,30.5
ADA,2022,0.0,0.0
ADA,2023,27.7,16.5
ADA,2024,10.1,23.1
ADA,2025,-29.6,29.6
ADA,2026Q12,0.0,0.0
