source,file,strategy,coin,pair,n_trades,roi_pct,win_rate_pct,max_dd_pct,sharpe,sortino,profit_factor,timerange,score
freqtrade_zip,backtest-result-2026-05-30_23-49-10.zip,BtcRegimeStrategy,BTC,BTC/USDT,8,-0.7,0.0,0.00700122617399993,-0.13989093887028645,-0.13989093887028645,0.0,2022-08-05 16:00:00~2026-01-01 00:00:00,-2.1129118410508645
freqtrade_zip,backtest-result-2026-05-31_00-12-31.zip,BtcRegimeStrategy,BTC,BTC/USDT,13,-0.22,46.15384615384615,0.004800280959834514,-0.024061289430888665,-0.03214017477278296,0.7044371277526602,2022-07-24 04:00:00~2026-01-01 00:00:00,-0.4702134562285557
freqtrade_zip,backtest-result-2026-05-31_00-24-00.zip,BtcRegimeStrategy,BTC,BTC/USDT,13,-0.22,46.15384615384615,0.004800280959834514,-0.024061289430888665,-0.03214017477278296,0.7044371277526602,2022-07-24 04:00:00~2026-01-01 00:00:00,-0.4702134562285557
freqtrade_zip,backtest-result-2026-05-31_00-30-18.zip,BtcRegimeStrategy,BTC,BTC/USDT,13,-0.22,46.15384615384615,0.004800280959834514,-0.024061289430888665,-0.03214017477278296,0.7044371277526602,2022-07-24 04:00:00~2026-01-01 00:00:00,-0.4702134562285557
freqtrade_zip,backtest-result-2026-05-31_00-30-26.zip,BtcRegimeStrategy,BTC,BTC/USDT,36,-2.36,30.555555555555557,0.02363874478219753,-0.2766773933287294,-0.3163540549715542,0.171172175766679,2022-02-21 01:00:00~2026-01-01 00:00:00,-5.174051422851689
freqtrade_zip,backtest-result-2026-05-31_00-30-31.zip,BtcRegimeStrategy,BTC,BTC/USDT,13,-0.72,46.15384615384615,0.009744385735221697,-0.05197456481715988,-0.05379827737461244,0.42482810542897087,2022-07-24 04:00:00~2026-01-01 00:00:00,-1.2592344196420422
freqtrade_zip,backtest-result-2026-05-31_00-30-35.zip,BtcRegimeStrategy,BTC,BTC/USDT,13,-0.22,46.15384615384615,0.004800280959834514,-0.024061289430888665,-0.03214017477278296,0.7044371277526602,2022-07-24 04:00:00~2026-01-01 00:00:00,-0.4702134562285557
freqtrade_zip,backtest-result-2026-05-31_00-30-40.zip,BtcRegimeStrategy,BTC,BTC/USDT,13,-0.72,46.15384615384615,0.009744385735221697,-0.05197456481715988,-0.05379827737461244,0.42482810542897087,2022-07-24 04:00:00~2026-01-01 00:00:00,-1.2592344196420422
freqtrade_zip,backtest-result-2026-05-31_00-30-46.zip,BtcRegimeStrategy,BTC,BTC/USDT,53,-3.07,26.41509433962264,0.03082454122048012,-0.4224417193961139,-0.47179876830664824,0.14759365954304238,2022-02-21 01:00:00~2026-01-01 00:00:00,-7.3560662764021
freqtrade_zip,backtest-result-2026-06-01_14-11-37.zip,BtcDcaHoldStrategy,BTC,BTC/USDT,1,0.05,100.0,0.0,-100.0,-100.0,0.0,2021-01-01 00:00:00~2021-04-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-01_14-12-59.zip,BtcDcaHoldStrategy,BTC,BTC/USDT,1,1.66,100.0,0.0,-100.0,-100.0,0.0,2021-01-01 00:00:00~2021-04-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-01_14-15-21.zip,BtcDcaHoldStrategy,BTC,BTC/USDT,1,107.06,100.0,0.0,-100.0,-100.0,0.0,2021-01-01 00:00:00~2026-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-01_14-16-24.zip,BtcDcaHoldStrategy,BTC,BTC/USDT,2,59.79,100.0,0.0,0.022531686146996834,-100.0,0.0,2021-01-01 00:00:00~2026-01-01 00:00:00,60.01531686146997
freqtrade_zip,backtest-result-2026-06-01_14-17-08.zip,BtcDcaHoldStrategy,BTC,BTC/USDT,1,61.17,100.0,0.0,-100.0,-100.0,0.0,2021-01-01 00:00:00~2026-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-01_14-17-42.zip,BtcDcaHoldStrategy,BTC,BTC/USDT,1,61.57,100.0,0.0,-100.0,-100.0,0.0,2021-01-01 00:00:00~2026-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-01_14-19-27.zip,BtcDcaHoldStrategy,BTC,BTC/USDT,1,140.58,100.0,0.0,-100.0,-100.0,0.0,2021-01-01 00:00:00~2026-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-01_14-20-31.zip,BtcDcaHoldStrategy,BTC,BTC/USDT,2,75.63,100.0,0.0,0.022252409285230316,-100.0,0.0,2021-01-01 00:00:00~2026-01-01 00:00:00,75.85252409285229
