variant,year,roi_%,max_dd_%
Rotation_V1,2021,708.8,38.1
Rotation_V1,2022,-19.5,23.2
Rotation_V1,2023,338.8,20.4
Rotation_V1,2024,-16.1,46.3
Rotation_V1,2025,31.8,20.9
Rotation_V1,2026Q12,-5.5,5.5
Rotation_V2,2021,668.2,28.4
Rotation_V2,2022,-19.9,19.9
Rotation_V2,2023,288.5,25.0
Rotation_V2,2024,-28.5,54.2
Rotation_V2,2025,38.4,9.4
Rotation_V2,2026Q12,0.0,0.0
Rotation_V3,2021,657.5,22.7
Rotation_V3,2022,-19.5,19.5
Rotation_V3,2023,280.0,21.3
Rotation_V3,2024,-29.7,53.8
Rotation_V3,2025,28.1,10.4
Rotation_V3,2026Q12,0.0,0.0
Pure_Shield,2021,47.0,0.0
Pure_Shield,2022,-13.4,13.4
Pure_Shield,2023,73.7,0.0
Pure_Shield,2024,52.9,10.9
Pure_Shield,2025,9.0,0.0
Pure_Shield,2026Q12,0.0,0.0
