variant,year,roi_%
Rebalance_R5,2021,49.0
Rebalance_R5,2022,-53.3
Rebalance_R5,2023,104.5
Rebalance_R5,2024,79.7
Rebalance_R5,2025,-4.3
Rebalance_R5,2026Q12,-12.5
Rebalance_R5_SHIELD,2021,44.4
Rebalance_R5_SHIELD,2022,-51.2
Rebalance_R5_SHIELD,2023,101.3
Rebalance_R5_SHIELD,2024,69.3
Rebalance_R5_SHIELD,2025,4.9
Rebalance_R5_SHIELD,2026Q12,-3.2
DynRebal_P20,2021,50.9
DynRebal_P20,2022,-53.5
DynRebal_P20,2023,105.3
DynRebal_P20,2024,78.8
DynRebal_P20,2025,-4.3
DynRebal_P20,2026Q12,-12.0
DynRebal_P20_SHIELD,2021,45.2
DynRebal_P20_SHIELD,2022,-51.2
DynRebal_P20_SHIELD,2023,102.7
DynRebal_P20_SHIELD,2024,69.2
DynRebal_P20_SHIELD,2025,4.7
DynRebal_P20_SHIELD,2026Q12,-2.8
