strategy,period,final,profit,roi_%,trades,max_dd_%,sharpe,annual_%
Rebalance_R5,TRAIN,14729.61,4729.61,47.3,1,0.0,-100.0,13.8
Rebalance_R5,VAL,17969.09,7969.09,79.7,1,0.0,-100.0,79.7
Rebalance_R5,TEST,8472.7,-1527.3,-15.3,1,15.27,-100.0,-11.2
DynRebal_P20,TRAIN,15089.2,5089.2,50.9,1,0.0,-100.0,14.7
DynRebal_P20,VAL,17878.23,7878.23,78.8,1,0.0,-100.0,78.8
DynRebal_P20,TEST,8540.14,-1459.86,-14.6,1,14.6,-100.0,-10.7
3Layer_AGGR,TRAIN,12672.84,2672.84,26.7,9,26.28,0.03,8.2
3Layer_AGGR,VAL,17749.06,7749.06,77.5,10,3.51,0.81,77.5
3Layer_AGGR,TEST,8508.48,-1491.52,-14.9,3,25.69,-0.03,-10.9
Adaptive_AGGR,TRAIN,12184.68,2184.68,21.8,1,0.0,-100.0,6.8
Adaptive_AGGR,VAL,17318.63,7318.63,73.2,1,0.0,-100.0,73.2
Adaptive_AGGR,TEST,8961.2,-1038.8,-10.4,1,10.39,-100.0,-7.5
